谱信息：
开始时间,19:22:34
测量时间,121.848
死时间,9.123
总计数,2280855
通道1道址,通道1计数,通道2道址,通道2计数
0,4234,0,4434
1,4556,1,4569
2,4601,2,4434
3,4463,3,4553
4,4521,4,4476
5,4431,5,4490
6,4362,6,4496
7,4515,7,4527
8,4277,8,4403
9,4428,9,4361
10,4361,10,4490
11,4325,11,4296
12,4241,12,4176
13,4239,13,4309
14,4123,14,4142
15,4173,15,4120
16,4015,16,3924
17,3884,17,3850
18,3667,18,3757
19,3611,19,3658
20,3653,20,3607
21,3583,21,3429
22,3580,22,3491
23,3571,23,3567
24,3547,24,3608
25,3605,25,3704
26,3785,26,3712
27,3865,27,3933
28,3910,28,4051
29,4169,29,4074
30,4131,30,4166
31,4218,31,4199
32,4263,32,4301
33,4342,33,4311
34,4453,34,4359
35,4326,35,4288
36,4463,36,4336
37,4456,37,4434
38,4476,38,4576
39,4521,39,4535
40,4502,40,4544
41,4564,41,4464
42,4545,42,4536
43,4385,43,4585
44,4441,44,4408
45,4642,45,4397
46,4557,46,4592
47,4524,47,4588
48,4709,48,4593
49,4569,49,4508
50,4582,50,4525
51,4577,51,4620
52,4535,52,4488
53,4589,53,4431
54,4644,54,4613
55,4433,55,4718
56,4671,56,4633
57,4669,57,4545
58,4584,58,4596
59,4583,59,4455
60,4573,60,4594
61,4526,61,4574
62,4648,62,4627
63,4608,63,4737
64,4580,64,4733
65,4629,65,4665
66,4677,66,4646
67,4595,67,4546
68,4619,68,4663
69,4680,69,4610
70,4625,70,4723
71,4684,71,4575
72,4604,72,4625
73,4577,73,4540
74,4631,74,4582
75,4568,75,4648
76,4610,76,4631
77,4587,77,4615
78,4533,78,4733
79,4533,79,4625
80,4600,80,4555
81,4565,81,4570
82,4580,82,4722
83,4692,83,4579
84,4681,84,4571
85,4654,85,4495
86,4641,86,4678
87,4691,87,4543
88,4533,88,4696
89,4662,89,4681
90,4699,90,4473
91,4659,91,4550
92,4683,92,4532
93,4541,93,4594
94,4709,94,4665
95,4569,95,4594
96,4482,96,4422
97,4521,97,4685
98,4512,98,4611
99,4529,99,4531
100,4702,100,4575
101,4577,101,4492
102,4615,102,4426
103,4469,103,4482
104,4524,104,4482
105,4405,105,4523
106,4480,106,4523
107,4523,107,4583
108,4403,108,4354
109,4484,109,4275
110,4182,110,4193
111,4259,111,4202
112,4122,112,4240
113,4073,113,4046
114,3858,114,4021
115,3841,115,3813
116,3768,116,3661
117,3620,117,3607
118,3727,118,3670
119,3716,119,3663
120,3912,120,3874
121,3880,121,3918
122,3971,122,3959
123,4271,123,4285
124,4221,124,4310
125,4188,125,4377
126,4314,126,4287
127,4402,127,4345
128,4405,128,4364
129,4411,129,4563
130,4338,130,4476
131,4516,131,4533
132,4507,132,4415
133,4607,133,4532
134,4542,134,4487
135,4535,135,4686
136,4485,136,4616
137,4567,137,4519
138,4431,138,4575
139,4600,139,4677
140,4624,140,4619
141,4550,141,4565
142,4673,142,4539
143,4709,143,4621
144,4581,144,4603
145,4486,145,4563
146,4560,146,4615
147,4724,147,4579
148,4581,148,4561
149,4516,149,4544
150,4642,150,4578
151,4546,151,4617
152,4636,152,4620
153,4610,153,4586
154,4654,154,4688
155,4508,155,4557
156,4540,156,4634
157,4629,157,4703
158,4600,158,4571
159,4634,159,4560
160,4687,160,4601
161,4532,161,4624
162,4592,162,4667
163,4616,163,4556
164,4633,164,4647
165,4591,165,4592
166,4708,166,4556
167,4646,167,4583
168,4660,168,4639
169,4506,169,4679
170,4497,170,4674
171,4565,171,4467
172,4792,172,4625
173,4615,173,4676
174,4686,174,4774
175,4677,175,4675
176,4632,176,4586
177,4621,177,4515
178,4521,178,4524
179,4623,179,4534
180,4528,180,4636
181,4652,181,4564
182,4577,182,4701
183,4674,183,4630
184,4530,184,4592
185,4586,185,4714
186,4560,186,4597
187,4620,187,4648
188,4563,188,4615
189,4639,189,4614
190,4504,190,4584
191,4546,191,4727
192,4717,192,4617
193,4758,193,4557
194,4571,194,4587
195,4584,195,4416
196,4551,196,4582
197,4448,197,4565
198,4617,198,4646
199,4582,199,4619
200,4598,200,4595
201,4573,201,4638
202,4532,202,4551
203,4431,203,4484
204,4562,204,4494
205,4429,205,4468
206,4467,206,4483
207,4334,207,4393
208,4274,208,4387
209,4240,209,4282
210,4230,210,4090
211,4198,211,4164
212,4121,212,4154
213,4134,213,4060
214,4054,214,4108
215,4145,215,4072
216,4126,216,4239
217,4344,217,4344
218,4395,218,4400
219,4394,219,4335
220,4421,220,4568
221,4438,221,4467
222,4416,222,4532
223,4558,223,4527
224,4643,224,4579
225,4616,225,4486
226,4558,226,4451
227,4577,227,4650
228,4463,228,4704
229,4427,229,4566
230,4505,230,4553
231,4538,231,4510
232,4566,232,4495
233,4641,233,4686
234,4563,234,4663
235,4745,235,4683
236,4663,236,4509
237,4633,237,4536
238,4530,238,4610
239,4653,239,4552
240,4689,240,4623
241,4696,241,4650
242,4649,242,4537
243,4629,243,4576
244,4611,244,4726
245,4691,245,4633
246,4535,246,4658
247,4453,247,4502
248,4637,248,4589
249,4587,249,4554
250,4728,250,4635
251,4619,251,4698
252,4651,252,4615
253,4747,253,4586
254,4657,254,4590
255,4613,255,4532
256,4665,256,4574
257,4656,257,4483
258,4698,258,4671
259,4557,259,4689
260,4636,260,4619
261,4560,261,4636
262,4470,262,4600
263,4467,263,4689
264,4508,264,4582
265,4636,265,4645
266,4564,266,4593
267,4647,267,4587
268,4502,268,4531
269,4458,269,4599
270,4638,270,4567
271,4506,271,4562
272,4640,272,4559
273,4456,273,4542
274,4506,274,4580
275,4521,275,4562
276,4429,276,4503
277,4434,277,4437
278,4354,278,4422
279,4313,279,4278
280,4163,280,4265
281,4252,281,4208
282,4075,282,4091
283,4172,283,4066
284,4014,284,4043
285,4087,285,4078
286,4184,286,4129
287,4260,287,4258
288,4323,288,4256
289,4340,289,4328
290,4413,290,4310
291,4309,291,4455
292,4436,292,4422
293,4420,293,4463
294,4505,294,4434
295,4478,295,4513
296,4643,296,4628
297,4566,297,4571
298,4563,298,4503
299,4472,299,4751
300,4548,300,4529
301,4655,301,4552
302,4602,302,4467
303,4734,303,4603
304,4648,304,4608
305,4593,305,4589
306,4579,306,4528
307,4665,307,4630
308,4644,308,4500
309,4633,309,4634
310,4595,310,4598
311,4461,311,4508
312,4560,312,4608
313,4512,313,4631
314,4633,314,4633
315,4615,315,4597
316,4710,316,4631
317,4587,317,4499
318,4644,318,4635
319,4698,319,4654
320,4547,320,4562
321,4702,321,4600
322,4579,322,4762
323,4612,323,4739
324,4713,324,4646
325,4690,325,4601
326,4547,326,4654
327,4588,327,4608
328,4657,328,4614
329,4492,329,4805
330,4650,330,4621
331,4543,331,4665
332,4604,332,4517
333,4608,333,4559
334,4593,334,4604
335,4752,335,4690
336,4643,336,4555
337,4662,337,4514
338,4563,338,4671
339,4580,339,4682
340,4597,340,4567
341,4670,341,4718
342,4585,342,4662
343,4659,343,4527
344,4530,344,4548
345,4705,345,4636
346,4567,346,4562
347,4563,347,4743
348,4584,348,4518
349,4767,349,4669
350,4630,350,4463
351,4643,351,4672
352,4633,352,4570
353,4613,353,4547
354,4709,354,4504
355,4594,355,4636
356,4679,356,4462
357,4672,357,4496
358,4585,358,4483
359,4624,359,4527
360,4609,360,4603
361,4550,361,4582
362,4650,362,4516
363,4524,363,4540
364,4559,364,4500
365,4597,365,4436
366,4541,366,4450
367,4483,367,4578
368,4456,368,4359
369,4415,369,4409
370,4367,370,4486
371,4200,371,4313
372,4350,372,4187
373,4109,373,4233
374,4178,374,4168
375,4032,375,4110
376,3878,376,3971
377,3827,377,3769
378,3698,378,3752
379,3678,379,3768
380,3552,380,3625
381,3784,381,3818
382,3877,382,3862
383,3977,383,3997
384,3915,384,3996
385,4215,385,4217
386,4200,386,4318
387,4334,387,4283
388,4380,388,4384
389,4404,389,4383
390,4367,390,4648
391,4436,391,4557
392,4562,392,4443
393,4454,393,4577
394,4529,394,4513
395,4420,395,4491
396,4653,396,4632
397,4447,397,4470
398,4635,398,4586
399,4608,399,4493
400,4620,400,4546
401,4593,401,4540
402,4717,402,4515
403,4530,403,4531
404,4652,404,4511
405,4617,405,4575
406,4449,406,4603
407,4570,407,4597
408,4526,408,4621
409,4612,409,4461
410,4520,410,4661
411,4620,411,4682
412,4494,412,4636
413,4665,413,4584
414,4608,414,4709
415,4670,415,4632
416,4646,416,4568
417,4651,417,4650
418,4614,418,4644
419,4640,419,4525
420,4621,420,4538
421,4556,421,4507
422,4607,422,4603
423,4735,423,4728
424,4651,424,4628
425,4609,425,4714
426,4490,426,4693
427,4711,427,4597
428,4645,428,4626
429,4615,429,4650
430,4708,430,4610
431,4801,431,4770
432,4620,432,4559
433,4643,433,4754
434,4583,434,4486
435,4518,435,4717
436,4600,436,4539
437,4576,437,4618
438,4578,438,4690
439,4572,439,4689
440,4635,440,4547
441,4531,441,4574
442,4671,442,4526
443,4689,443,4500
444,4520,444,4659
445,4645,445,4747
446,4596,446,4682
447,4501,447,4547
448,4579,448,4668
449,4515,449,4455
450,4534,450,4684
451,4570,451,4537
452,4456,452,4530
453,4582,453,4629
454,4476,454,4573
455,4404,455,4557
456,4475,456,4541
457,4632,457,4588
458,4473,458,4468
459,4375,459,4475
460,4408,460,4408
461,4488,461,4452
462,4415,462,4472
463,4333,463,4344
464,4336,464,4375
465,4274,465,4309
466,4277,466,4281
467,4166,467,4213
468,4074,468,4053
469,4021,469,3918
470,3916,470,4012
471,3743,471,3824
472,3777,472,3662
473,3525,473,3646
474,3655,474,3448
475,3433,475,3457
476,3493,476,3455
477,3679,477,3489
478,3598,478,3665
479,3842,479,3736
480,3971,480,3935
481,3997,481,4003
482,4025,482,4191
483,4250,483,4127
484,4253,484,4197
485,4347,485,4175
486,4412,486,4236
487,4385,487,4376
488,4419,488,4461
489,4408,489,4511
490,4383,490,4400
491,4436,491,4449
492,4477,492,4555
493,4516,493,4442
494,4597,494,4510
495,4530,495,4500
496,4542,496,4541
497,4542,497,4560
498,4543,498,4533
499,4534,499,4391
500,4479,500,4503
501,4544,501,4617
502,4808,502,4604
503,4570,503,4612
504,4552,504,4655
505,4681,505,4630
506,4569,506,4549
507,4673,507,4518
508,4575,508,4626
509,4541,509,4653
510,4653,510,4716
511,4672,511,4519
