谱信息：
开始时间,19:53:59
测量时间,60.841
死时间,4.659
总计数,1164965
通道1道址,通道1计数,通道2道址,通道2计数
0,2190,0,2248
1,2359,1,2348
2,2384,2,2305
3,2352,3,2323
4,2312,4,2342
5,2300,5,2430
6,2362,6,2365
7,2299,7,2315
8,2286,8,2237
9,2434,9,2318
10,2375,10,2419
11,2336,11,2324
12,2253,12,2331
13,2373,13,2362
14,2257,14,2369
15,2412,15,2399
16,2348,16,2433
17,2299,17,2336
18,2398,18,2368
19,2268,19,2352
20,2297,20,2358
21,2319,21,2360
22,2374,22,2320
23,2384,23,2391
24,2394,24,2353
25,2321,25,2399
26,2325,26,2351
27,2381,27,2395
28,2292,28,2290
29,2358,29,2393
30,2448,30,2349
31,2395,31,2397
32,2443,32,2322
33,2358,33,2395
34,2283,34,2353
35,2330,35,2291
36,2364,36,2299
37,2425,37,2348
38,2294,38,2336
39,2255,39,2216
40,2246,40,2329
41,2364,41,2337
42,2390,42,2287
43,2384,43,2323
44,2280,44,2406
45,2367,45,2338
46,2276,46,2352
47,2261,47,2455
48,2290,48,2348
49,2373,49,2363
50,2313,50,2290
51,2290,51,2393
52,2373,52,2426
53,2342,53,2374
54,2383,54,2313
55,2343,55,2356
56,2370,56,2389
57,2365,57,2395
58,2380,58,2303
59,2327,59,2296
60,2294,60,2367
61,2324,61,2368
62,2349,62,2376
63,2267,63,2338
64,2356,64,2320
65,2301,65,2319
66,2333,66,2395
67,2283,67,2150
68,2234,68,2241
69,2243,69,2292
70,2282,70,2277
71,2144,71,2265
72,2093,72,2234
73,2227,73,2188
74,2105,74,2178
75,2071,75,2136
76,1992,76,2008
77,2056,77,1927
78,1844,78,1931
79,1854,79,1850
80,1736,80,1845
81,1732,81,1729
82,1867,82,1853
83,1871,83,1848
84,2000,84,1994
85,2065,85,1987
86,2056,86,2111
87,2114,87,2138
88,2176,88,2197
89,2136,89,2219
90,2175,90,2256
91,2304,91,2199
92,2318,92,2283
93,2259,93,2254
94,2346,94,2272
95,2338,95,2368
96,2281,96,2255
97,2271,97,2425
98,2274,98,2278
99,2316,99,2367
100,2207,100,2401
101,2312,101,2323
102,2363,102,2245
103,2300,103,2340
104,2361,104,2277
105,2322,105,2255
106,2280,106,2377
107,2214,107,2386
108,2336,108,2377
109,2346,109,2373
110,2355,110,2377
111,2293,111,2320
112,2338,112,2309
113,2319,113,2240
114,2406,114,2270
115,2315,115,2404
116,2361,116,2219
117,2344,117,2319
118,2280,118,2317
119,2415,119,2283
120,2374,120,2243
121,2358,121,2329
122,2327,122,2392
123,2293,123,2365
124,2313,124,2330
125,2289,125,2423
126,2361,126,2339
127,2260,127,2310
128,2268,128,2449
129,2323,129,2346
130,2354,130,2444
131,2273,131,2382
132,2385,132,2266
133,2287,133,2336
134,2291,134,2357
135,2277,135,2238
