通道一计数表：,,
ID,计数时长(s),计数
1,0.5,14
2,0.5,7
3,0.5,11
4,0.5,12
5,0.5,11
6,0.5,12
7,0.5,5
8,0.5,10
9,0.5,8
10,0.5,9
11,0.5,7
12,0.5,9
13,0.5,9
14,0.5,13
15,0.5,11
16,0.5,13
17,0.5,5
18,0.5,5
19,0.5,15
20,0.5,10
21,0.5,5
22,0.5,3
23,0.5,5
24,0.5,14
25,0.5,15
26,0.5,9
27,0.5,19
28,0.5,5
29,0.5,12
30,0.5,11
31,0.5,13
32,0.5,7
33,0.5,8
34,0.5,10
35,0.5,14
36,0.5,6
37,0.5,12
38,0.5,5
39,0.5,8
40,0.5,11
41,0.5,10
42,0.5,10
43,0.5,10
44,0.5,12
45,0.5,12
46,0.5,10
47,0.5,14
48,0.5,4
49,0.5,8
50,0.5,5
51,0.5,5
52,0.5,12
53,0.5,18
54,0.5,13
55,0.5,9
56,0.5,4
57,0.5,9
58,0.5,4
59,0.5,9
60,0.5,10
61,0.5,15
62,0.5,18
63,0.5,10
64,0.5,7
65,0.5,13
66,0.5,10
67,0.5,10
68,0.5,7
69,0.5,14
70,0.5,12
71,0.5,14
72,0.5,15
73,0.5,4
74,0.5,8
75,0.5,12
76,0.5,16
77,0.5,7
78,0.5,12
79,0.5,7
80,0.5,15
81,0.5,11
82,0.5,7
83,0.5,10
84,0.5,7
85,0.5,10
86,0.5,15
87,0.5,16
88,0.5,9
89,0.5,8
90,0.5,11
91,0.5,10
92,0.5,10
93,0.5,7
94,0.5,8
95,0.5,9
96,0.5,7
97,0.5,6
98,0.5,8
99,0.5,12
100,0.5,12
101,0.5,16
102,0.5,14
103,0.5,9
104,0.5,12
105,0.5,7
106,0.5,6
107,0.5,12
108,0.5,7
109,0.5,6
110,0.5,10
111,0.5,14
112,0.5,15
113,0.5,11
114,0.5,7
115,0.5,9
116,0.5,10
117,0.5,4
118,0.5,3
119,0.5,13
120,0.5,11
121,0.5,6
122,0.5,7
123,0.5,10
124,0.5,4
125,0.5,12
126,0.5,11
127,0.5,10
128,0.5,14
129,0.5,13
130,0.5,5
131,0.5,9
132,0.5,8
133,0.5,9
134,0.5,14
135,0.5,11
136,0.5,8
137,0.5,7
138,0.5,6
139,0.5,7
140,0.5,8
141,0.5,9
142,0.5,8
143,0.5,3
144,0.5,6
145,0.5,9
146,0.5,14
147,0.5,11
148,0.5,9
149,0.5,10
150,0.5,7
151,0.5,12
152,0.5,13
153,0.5,8
154,0.5,13
155,0.5,9
156,0.5,9
157,0.5,10
158,0.5,9
159,0.5,13
160,0.5,15
161,0.5,9
162,0.5,12
163,0.5,7
164,0.5,11
165,0.5,11
166,0.5,11
167,0.5,8
168,0.5,9
169,0.5,7
170,0.5,9
171,0.5,7
172,0.5,10
173,0.5,15
174,0.5,5
175,0.5,9
176,0.5,10
177,0.5,11
178,0.5,14
179,0.5,16
180,0.5,10
181,0.5,12
182,0.5,16
183,0.5,4
184,0.5,9
185,0.5,7
186,0.5,13
187,0.5,11
188,0.5,6
189,0.5,15
190,0.5,10
191,0.5,14
192,0.5,9
193,0.5,15
194,0.5,10
