通道一计数表：,,
ID,计数时长(s),计数
1,0.5,6131
2,0.5,6145
3,0.5,6180
4,0.5,6113
5,0.5,6018
6,0.5,6170
7,0.5,6042
8,0.5,6058
9,0.5,5999
10,0.5,6031
11,0.5,6115
12,0.5,5956
13,0.5,5973
14,0.5,5914
15,0.5,5842
16,0.5,5906
17,0.5,5899
18,0.5,5882
19,0.5,5644
20,0.5,5845
21,0.5,5856
22,0.5,5775
23,0.5,5700
24,0.5,5596
25,0.5,5642
26,0.5,5684
27,0.5,5608
28,0.5,5705
29,0.5,5596
30,0.5,5648
31,0.5,5592
32,0.5,5689
33,0.5,5506
34,0.5,5654
35,0.5,5587
36,0.5,5599
37,0.5,5578
38,0.5,5423
39,0.5,5463
40,0.5,5428
41,0.5,5315
42,0.5,5375
43,0.5,5281
44,0.5,5284
45,0.5,5240
46,0.5,5351
47,0.5,5279
48,0.5,5306
49,0.5,5246
50,0.5,5205
51,0.5,5177
52,0.5,5141
53,0.5,5178
54,0.5,5107
55,0.5,5084
56,0.5,5229
57,0.5,5135
58,0.5,5105
59,0.5,5061
60,0.5,5114
61,0.5,4966
62,0.5,4927
63,0.5,4883
64,0.5,4918
65,0.5,4994
66,0.5,5017
67,0.5,4924
68,0.5,4952
69,0.5,4739
70,0.5,4825
71,0.5,4782
72,0.5,4808
73,0.5,4772
74,0.5,4992
75,0.5,4842
76,0.5,4683
77,0.5,4756
78,0.5,4720
79,0.5,4645
80,0.5,4623
81,0.5,4697
82,0.5,4671
83,0.5,4611
84,0.5,4630
85,0.5,4694
86,0.5,4637
87,0.5,4600
88,0.5,4578
89,0.5,4679
90,0.5,4629
91,0.5,4474
92,0.5,4539
93,0.5,4498
94,0.5,4598
95,0.5,4331
96,0.5,4466
97,0.5,4382
98,0.5,4471
99,0.5,4358
100,0.5,4410
101,0.5,4315
102,0.5,4417
103,0.5,4333
104,0.5,4340
105,0.5,4402
106,0.5,4376
107,0.5,4160
108,0.5,4296
109,0.5,4231
110,0.5,4238
111,0.5,4254
112,0.5,4251
113,0.5,4172
114,0.5,4268
115,0.5,4167
116,0.5,4205
117,0.5,4077
118,0.5,4110
119,0.5,4184
120,0.5,4023
121,0.5,4063
122,0.5,4144
123,0.5,4117
124,0.5,4077
125,0.5,4005
126,0.5,4006
127,0.5,3975
128,0.5,3990
129,0.5,3941
130,0.5,3934
131,0.5,4088
132,0.5,3953
133,0.5,3991
134,0.5,3855
135,0.5,3903
136,0.5,3998
137,0.5,3894
138,0.5,3832
139,0.5,3747
140,0.5,3843
141,0.5,3839
142,0.5,3831
143,0.5,3768
144,0.5,3805
145,0.5,3760
146,0.5,3779
147,0.5,3706
148,0.5,3803
149,0.5,3793
150,0.5,3765
151,0.5,3651
152,0.5,3706
153,0.5,3770
154,0.5,3691
155,0.5,3568
156,0.5,3648
157,0.5,3603
158,0.5,3699
159,0.5,3642
160,0.5,3624
161,0.5,3646
162,0.5,3702
163,0.5,3661
164,0.5,3562
165,0.5,3595
166,0.5,3542
167,0.5,3527
168,0.5,3612
169,0.5,3549
170,0.5,3462
171,0.5,3445
172,0.5,3565
173,0.5,3475
174,0.5,3575
175,0.5,3493
176,0.5,3468
177,0.5,3607
178,0.5,3387
179,0.5,3407
180,0.5,3473
181,0.5,3503
182,0.5,3453
183,0.5,3397
184,0.5,3422
185,0.5,3346
186,0.5,3363
187,0.5,3400
188,0.5,3397
189,0.5,3337
190,0.5,3331
191,0.5,3334
192,0.5,3320
193,0.5,3350
194,0.5,3282
195,0.5,3259
196,0.5,3273
197,0.5,3152
198,0.5,3144
199,0.5,3318
200,0.5,3204
201,0.5,3123
202,0.5,3230
203,0.5,3182
204,0.5,3096
205,0.5,3215
206,0.5,3200
207,0.5,3096
208,0.5,3016
209,0.5,3103
210,0.5,3218
211,0.5,3134
212,0.5,3195
213,0.5,3125
214,0.5,3058
215,0.5,3023
216,0.5,3020
217,0.5,3146
218,0.5,3030
219,0.5,3033
220,0.5,2994
221,0.5,3030
222,0.5,3034
223,0.5,3045
224,0.5,3040
225,0.5,3105
226,0.5,2984
227,0.5,2963
228,0.5,2978
229,0.5,3021
230,0.5,2981
231,0.5,3024
232,0.5,3033
233,0.5,3006
234,0.5,2988
235,0.5,2955
236,0.5,2881
237,0.5,2915
238,0.5,2968
239,0.5,2921
240,0.5,2884
241,0.5,2858
242,0.5,2898
243,0.5,2860
244,0.5,2895
245,0.5,2884
246,0.5,2843
247,0.5,2930
248,0.5,2858
249,0.5,2970
250,0.5,2846
251,0.5,2898
252,0.5,2813
253,0.5,2845
254,0.5,2845
255,0.5,2772
256,0.5,2798
257,0.5,2806
258,0.5,2814
259,0.5,2789
260,0.5,2788
261,0.5,2757
262,0.5,2667
263,0.5,2772
264,0.5,2734
265,0.5,2656
266,0.5,2743
267,0.5,2716
268,0.5,2647
269,0.5,2706
270,0.5,2642
271,0.5,2704
272,0.5,2618
273,0.5,2638
274,0.5,2699
275,0.5,2709
276,0.5,2620
277,0.5,2655
278,0.5,2632
279,0.5,2694
280,0.5,2534
281,0.5,2646
282,0.5,2600
283,0.5,2563
284,0.5,2603
285,0.5,2668
286,0.5,2613
287,0.5,2547
288,0.5,2506
289,0.5,2592
290,0.5,2629
291,0.5,2502
292,0.5,2662
293,0.5,2558
294,0.5,2499
295,0.5,2558
296,0.5,2496
297,0.5,2507
298,0.5,2498
299,0.5,2518
300,0.5,2548
301,0.5,2483
