μ子数据
开始时间,19:03:09
测量时间,680.4
μ子衰变数,11877
μ子通量数,2051
日期时间,μ子寿命
20241215 19:03:09,1.41
20241215 19:03:09,2.1
20241215 19:03:09,0.37
20241215 19:03:09,5.02
20241215 19:03:09,0.45
20241215 19:03:09,0.43
20241215 19:03:09,0.3
20241215 19:03:09,2.02
20241215 19:03:09,1.9
20241215 19:03:09,10.65
20241215 19:03:10,5.58
20241215 19:03:10,2.33
20241215 19:03:10,0.28
20241215 19:03:10,0.28
20241215 19:03:10,0.43
20241215 19:03:10,0.18
20241215 19:03:10,2.51
20241215 19:03:10,0.35
20241215 19:03:10,0.11
20241215 19:03:10,6.56
20241215 19:03:10,4.52
20241215 19:03:10,0.69
20241215 19:03:10,3.62
20241215 19:03:10,6.28
20241215 19:03:10,0.5
20241215 19:03:10,1.51
20241215 19:03:10,1.03
20241215 19:03:10,0.21
20241215 19:03:11,4.8
20241215 19:03:11,1.91
20241215 19:03:11,2.82
20241215 19:03:11,0.32
20241215 19:03:11,2.49
20241215 19:03:11,0.82
20241215 19:03:11,2.68
20241215 19:03:11,2.52
20241215 19:03:11,0.68
20241215 19:03:11,0.34
20241215 19:03:11,3.35
20241215 19:03:11,0.96
20241215 19:03:12,2.8
20241215 19:03:12,1.79
20241215 19:03:12,0.46
20241215 19:03:12,1.94
20241215 19:03:12,2.11
20241215 19:03:12,1.72
20241215 19:03:12,0.32
20241215 19:03:12,1.1
20241215 19:03:12,6.12
20241215 19:03:12,1.86
20241215 19:03:12,4.02
20241215 19:03:12,3.1
20241215 19:03:12,2.87
20241215 19:03:12,4.43
20241215 19:03:12,2.61
20241215 19:03:12,8.64
20241215 19:03:12,0.42
20241215 19:03:12,0.45
20241215 19:03:12,1.24
20241215 19:03:12,4.14
20241215 19:03:12,1.41
20241215 19:03:12,2.35
20241215 19:03:12,0.92
20241215 19:03:13,3.91
20241215 19:03:13,3.41
20241215 19:03:13,1.07
20241215 19:03:13,0.81
20241215 19:03:13,0.4
20241215 19:03:13,0.45
20241215 19:03:13,5.4
20241215 19:03:13,2.92
20241215 19:03:13,0.7
20241215 19:03:13,1.73
20241215 19:03:13,0.51
20241215 19:03:13,1.27
20241215 19:03:13,3.38
20241215 19:03:13,6.78
20241215 19:03:13,2.74
20241215 19:03:13,3.87
20241215 19:03:13,0.21
20241215 19:03:13,2.01
20241215 19:03:13,2.21
20241215 19:03:14,5.92
20241215 19:03:14,0.69
20241215 19:03:14,1.87
20241215 19:03:14,0.17
20241215 19:03:14,4.78
20241215 19:03:14,0.7
20241215 19:03:14,2.77
20241215 19:03:14,0.92
20241215 19:03:14,0.42
20241215 19:03:14,0.9
20241215 19:03:15,0.87
20241215 19:03:15,0.21
20241215 19:03:15,0.6
20241215 19:03:15,1.32
20241215 19:03:15,1.36
20241215 19:03:15,0.93
20241215 19:03:15,5.35
20241215 19:03:15,9.54
20241215 19:03:15,1
20241215 19:03:15,6.52
20241215 19:03:15,2.53
20241215 19:03:15,4.34
20241215 19:03:15,5.42
20241215 19:03:16,0.93
20241215 19:03:16,7.35
20241215 19:03:16,2.12
20241215 19:03:16,4.92
20241215 19:03:16,0.87
20241215 19:03:16,3.44
20241215 19:03:16,0.43
20241215 19:03:16,1.08
20241215 19:03:16,10.45
20241215 19:03:16,3.65
20241215 19:03:16,0.67
20241215 19:03:16,1.95
20241215 19:03:16,0.1
20241215 19:03:16,0.23
20241215 19:03:16,0.41
20241215 19:03:16,0.33
20241215 19:03:16,0.65
20241215 19:03:16,1.08
20241215 19:03:17,1
20241215 19:03:17,1.79
20241215 19:03:17,2.17
20241215 19:03:17,1.57
20241215 19:03:17,0.31
20241215 19:03:17,6.13
20241215 19:03:17,0.13
20241215 19:03:17,5.59
20241215 19:03:17,1.33
20241215 19:03:17,1.26
20241215 19:03:17,1.09
20241215 19:03:17,0.21
20241215 19:03:17,0.71
20241215 19:03:17,2.69
20241215 19:03:17,7.96
20241215 19:03:17,1.72
20241215 19:03:17,0.59
20241215 19:03:17,2.55
20241215 19:03:17,2.07
20241215 19:03:18,0.12
20241215 19:03:18,1.73
20241215 19:03:18,0.4
20241215 19:03:18,1.47
20241215 19:03:18,3.28
20241215 19:03:18,2.18
20241215 19:03:18,1.22
20241215 19:03:18,3.24
20241215 19:03:18,1.8
20241215 19:03:18,1.06
20241215 19:03:18,1.71
20241215 19:03:18,1.78
20241215 19:03:18,1.68
20241215 19:03:18,3.36
20241215 19:03:18,1.8
20241215 19:03:18,0.13
20241215 19:03:19,1.76
20241215 19:03:19,1.57
20241215 19:03:19,2.06
20241215 19:03:19,4.75
20241215 19:03:19,3.38
20241215 19:03:19,6.58
20241215 19:03:19,1.43
20241215 19:03:19,2.68
20241215 19:03:19,6.91
20241215 19:03:19,2.68
20241215 19:03:19,1.08
20241215 19:03:19,1.12
20241215 19:03:19,1.84
20241215 19:03:19,3.66
20241215 19:03:19,0.96
20241215 19:03:19,1.09
20241215 19:03:20,5.3
20241215 19:03:20,5.39
20241215 19:03:20,1.01
20241215 19:03:20,0.98
20241215 19:03:20,0.38
20241215 19:03:20,1.42
20241215 19:03:20,3.35
20241215 19:03:20,2.12
20241215 19:03:20,0.74
20241215 19:03:20,0.3
20241215 19:03:20,7.91
20241215 19:03:20,2.49
20241215 19:03:20,1.14
20241215 19:03:20,0.35
20241215 19:03:20,3.62
20241215 19:03:20,2.43
20241215 19:03:20,2.22
20241215 19:03:21,4.02
20241215 19:03:21,0.23
20241215 19:03:21,0.31
20241215 19:03:21,0.74
20241215 19:03:21,0.15
20241215 19:03:21,0.54
20241215 19:03:21,3.26
20241215 19:03:21,1.33
20241215 19:03:21,2.16
20241215 19:03:21,0.92
20241215 19:03:21,2.96
20241215 19:03:21,3
20241215 19:03:21,0.43
20241215 19:03:22,2
20241215 19:03:22,4.25
20241215 19:03:22,5.45
20241215 19:03:22,11.42
20241215 19:03:22,2.49
20241215 19:03:22,1.94
20241215 19:03:22,5.4
20241215 19:03:22,1.79
20241215 19:03:22,5.7
20241215 19:03:22,1.83
20241215 19:03:22,0.54
20241215 19:03:22,3.81
20241215 19:03:23,4.31
20241215 19:03:23,2.4
20241215 19:03:23,5.95
20241215 19:03:23,2.09
20241215 19:03:23,1
20241215 19:03:23,0.18
20241215 19:03:23,0.26
20241215 19:03:23,2.31
20241215 19:03:23,5.26
20241215 19:03:23,3.04
20241215 19:03:23,2.38
20241215 19:03:23,0.3
20241215 19:03:23,2.11
20241215 19:03:23,1.12
20241215 19:03:23,1.62
20241215 19:03:23,1.59
20241215 19:03:23,1.75
20241215 19:03:23,0.95
20241215 19:03:23,0.63
20241215 19:03:24,0.85
20241215 19:03:24,0.94
20241215 19:03:24,5.09
20241215 19:03:24,0.49
20241215 19:03:24,9.17
20241215 19:03:24,6.51
20241215 19:03:24,3.86
20241215 19:03:24,1.34
20241215 19:03:24,1.47
20241215 19:03:24,1.45
20241215 19:03:24,2.39
20241215 19:03:24,7.95
20241215 19:03:24,0.93
20241215 19:03:24,0.26
20241215 19:03:24,0.1
20241215 19:03:24,2.51
20241215 19:03:24,4.76
20241215 19:03:24,1.38
20241215 19:03:24,0.22
20241215 19:03:24,1.04
20241215 19:03:24,1.83
20241215 19:03:24,1.52
20241215 19:03:24,3.45
20241215 19:03:25,2.36
20241215 19:03:25,2.57
20241215 19:03:25,1.67
20241215 19:03:25,0.84
20241215 19:03:25,0.93
20241215 19:03:25,2.03
20241215 19:03:25,5.1
20241215 19:03:25,1.85
20241215 19:03:25,4.84
20241215 19:03:25,5.23
20241215 19:03:25,0.14
20241215 19:03:25,1.45
20241215 19:03:25,3.13
20241215 19:03:26,3.8
20241215 19:03:26,0.11
20241215 19:03:26,0.42
20241215 19:03:26,2.26
20241215 19:03:26,3.08
20241215 19:03:26,3.01
20241215 19:03:26,0.64
20241215 19:03:26,0.19
20241215 19:03:26,3.18
20241215 19:03:27,0.82
