μ子数据
开始时间,19:30:20
测量时间,95.7
μ子衰变数,1596
μ子通量数,102
日期时间,μ子寿命
20241215 19:30:20,0.29
20241215 19:30:20,0.25
20241215 19:30:20,3.82
20241215 19:30:20,2.92
20241215 19:30:20,0.23
20241215 19:30:20,2.2
20241215 19:30:20,0.46
20241215 19:30:21,1.82
20241215 19:30:21,8.79
20241215 19:30:21,4.38
20241215 19:30:21,2.52
20241215 19:30:21,0.23
20241215 19:30:21,2.01
20241215 19:30:21,0.61
20241215 19:30:21,3.7
20241215 19:30:21,0.25
20241215 19:30:21,2.56
20241215 19:30:22,1.18
20241215 19:30:22,1.36
20241215 19:30:22,2.24
20241215 19:30:22,5.02
20241215 19:30:22,1.49
20241215 19:30:22,2.35
20241215 19:30:22,0.32
20241215 19:30:22,0.14
20241215 19:30:22,2.16
20241215 19:30:22,2.04
20241215 19:30:22,1.27
20241215 19:30:22,0.78
20241215 19:30:23,5.09
20241215 19:30:23,1.04
20241215 19:30:23,0.16
20241215 19:30:23,3.73
20241215 19:30:23,2.71
20241215 19:30:23,1.15
20241215 19:30:23,2.63
20241215 19:30:23,0.12
20241215 19:30:23,3.09
20241215 19:30:23,0.53
20241215 19:30:23,7.4
20241215 19:30:23,1.69
20241215 19:30:23,5.36
20241215 19:30:23,2.78
20241215 19:30:23,1.94
20241215 19:30:23,2.57
20241215 19:30:24,0.15
20241215 19:30:24,0.71
20241215 19:30:24,0.38
20241215 19:30:24,5.09
20241215 19:30:24,2.29
20241215 19:30:24,0.28
20241215 19:30:24,1.37
20241215 19:30:24,0.95
20241215 19:30:24,0.59
20241215 19:30:24,4.38
20241215 19:30:24,0.87
20241215 19:30:24,0.94
20241215 19:30:24,0.46
20241215 19:30:24,5.97
20241215 19:30:24,1.72
20241215 19:30:24,2.25
20241215 19:30:24,0.43
20241215 19:30:24,3.97
20241215 19:30:24,0.6
20241215 19:30:24,0.56
20241215 19:30:24,0.72
20241215 19:30:24,0.35
20241215 19:30:25,1.1
20241215 19:30:25,0.25
20241215 19:30:25,4.5
20241215 19:30:25,0.82
20241215 19:30:25,1.17
20241215 19:30:25,6.57
20241215 19:30:25,0.18
20241215 19:30:25,1.42
20241215 19:30:25,2.67
20241215 19:30:25,0.39
20241215 19:30:25,2.26
20241215 19:30:25,0.88
20241215 19:30:25,1.62
20241215 19:30:25,1.4
20241215 19:30:25,0.21
20241215 19:30:25,0.38
20241215 19:30:26,0.17
20241215 19:30:26,0.38
20241215 19:30:26,0.7
20241215 19:30:26,2.25
20241215 19:30:26,11.57
20241215 19:30:26,2.11
20241215 19:30:26,2.74
20241215 19:30:26,2.81
20241215 19:30:26,0.15
20241215 19:30:26,2.85
20241215 19:30:26,1.06
20241215 19:30:26,0.93
20241215 19:30:26,1.12
20241215 19:30:27,0.19
20241215 19:30:27,0.27
20241215 19:30:27,0.3
20241215 19:30:27,2
20241215 19:30:27,0.56
20241215 19:30:27,0.93
20241215 19:30:27,0.54
20241215 19:30:27,6.61
20241215 19:30:27,0.11
20241215 19:30:27,0.89
20241215 19:30:27,3.1
20241215 19:30:27,0.53
20241215 19:30:27,0.58
20241215 19:30:27,6.83
20241215 19:30:27,0.8
20241215 19:30:27,1
20241215 19:30:27,4.56
20241215 19:30:27,0.17
20241215 19:30:28,0.75
20241215 19:30:28,1.49
20241215 19:30:28,0.72
20241215 19:30:28,1.12
20241215 19:30:28,1.07
20241215 19:30:28,1.25
20241215 19:30:28,1.33
20241215 19:30:28,0.38
20241215 19:30:28,7.48
20241215 19:30:28,0.17
20241215 19:30:28,4.61
20241215 19:30:28,0.4
20241215 19:30:28,0.83
20241215 19:30:28,3.51
20241215 19:30:28,3.61
20241215 19:30:28,0.11
20241215 19:30:29,0.16
20241215 19:30:29,2.01
20241215 19:30:29,2.27
20241215 19:30:29,1.56
20241215 19:30:29,2.18
20241215 19:30:29,1.51
20241215 19:30:29,1.79
20241215 19:30:29,0.23
20241215 19:30:29,2.44
20241215 19:30:29,1.3
20241215 19:30:29,4.55
20241215 19:30:29,0.56
20241215 19:30:29,1.09
20241215 19:30:29,2.26
20241215 19:30:29,8.14
