谱信息：,,,,,,,,,,
开始时间,19:33:43,,,,,,,,,
测量时间,63.673,,,,,,,,,
死时间,0.364,,,,,,,,,
总计数,91247,,,,,,,,峰位,半峰宽
最大值,9524,,,,,,,,2472.76,33.3466
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数,,,,,
0,0,0,0,0,0,,,,,
1,0,1,530,1,286,,,,,
2,0,2,603,2,362,,,,,
3,0,3,658,3,430,,,,,
4,1,4,638,4,404,,,,,
5,0,5,631,5,460,,,,,
6,3,6,699,6,443,,,,,
7,1,7,638,7,431,,,,,
8,0,8,640,8,463,,,,,
9,0,9,636,9,437,,,,,
10,0,10,574,10,375,,,,,
11,1,11,605,11,417,,,,,
12,1,12,554,12,429,,,,,
13,1,13,462,13,410,,,,,
14,2,14,445,14,392,,,,,
15,0,15,475,15,347,,,,,
16,0,16,411,16,300,,,,,
17,2,17,334,17,329,,,,,
18,0,18,345,18,256,,,,,
19,1,19,317,19,274,,,,,
20,1,20,246,20,236,,,,,
21,2,21,229,21,220,,,,,
22,2,22,192,22,196,,,,,
23,1,23,200,23,176,,,,,
24,2,24,183,24,164,,,,,
25,0,25,146,25,159,,,,,
26,0,26,135,26,138,,,,,
27,3,27,136,27,150,,,,,
28,1,28,109,28,119,,,,,
29,2,29,107,29,103,,,,,
30,3,30,65,30,102,,,,,
31,1,31,88,31,103,,,,,
32,0,32,72,32,97,,,,,
33,2,33,74,33,89,,,,,
34,1,34,51,34,66,,,,,
35,1,35,46,35,60,,,,,
36,2,36,49,36,67,,,,,
37,1,37,48,37,61,,,,,
38,1,38,50,38,55,,,,,
39,0,39,49,39,49,,,,,
40,1,40,47,40,41,,,,,
41,1,41,59,41,43,,,,,
42,1,42,43,42,32,,,,,
43,0,43,43,43,39,,,,,
44,0,44,32,44,31,,,,,
45,1,45,35,45,34,,,,,
46,1,46,43,46,30,,,,,
47,0,47,39,47,19,,,,,
48,1,48,39,48,29,,,,,
49,1,49,30,49,24,,,,,
50,0,50,44,50,27,,,,,
51,0,51,32,51,30,,,,,
52,0,52,44,52,26,,,,,
53,1,53,53,53,28,,,,,
54,1,54,63,54,27,,,,,
55,1,55,48,55,23,,,,,
56,1,56,58,56,29,,,,,
57,2,57,60,57,24,,,,,
58,0,58,48,58,25,,,,,
59,1,59,57,59,27,,,,,
60,1,60,82,60,37,,,,,
61,0,61,99,61,36,,,,,
62,1,62,91,62,32,,,,,
63,0,63,134,63,45,,,,,
64,0,64,192,64,33,,,,,
65,0,65,257,65,33,,,,,
66,0,66,374,66,34,,,,,
67,1,67,515,67,33,,,,,
68,0,68,615,68,31,,,,,
69,0,69,789,69,35,,,,,
70,0,70,1020,70,53,,,,,
71,0,71,1109,71,37,,,,,
72,0,72,1211,72,58,,,,,
73,1,73,1343,73,76,,,,,
74,1,74,1519,74,69,,,,,
75,1,75,1658,75,96,,,,,
76,1,76,1708,76,99,,,,,
77,2,77,1735,77,123,,,,,
78,1,78,1925,78,170,,,,,
79,2,79,1985,79,236,,,,,
80,1,80,1917,80,297,,,,,
81,0,81,1928,81,369,,,,,
82,2,82,1888,82,470,,,,,
83,1,83,1934,83,582,,,,,
84,3,84,1950,84,621,,,,,
85,2,85,1881,85,706,,,,,
86,1,86,1906,86,734,,,,,
87,0,87,1837,87,859,,,,,
88,2,88,1868,88,910,,,,,
89,1,89,1834,89,1042,,,,,
90,1,90,1827,90,1144,,,,,
91,0,91,1839,91,1181,,,,,
92,1,92,1916,92,1264,,,,,
93,2,93,1839,93,1187,,,,,
94,1,94,1805,94,1289,,,,,
95,1,95,1917,95,1260,,,,,
96,0,96,1854,96,1277,,,,,
97,0,97,1913,97,1337,,,,,
98,1,98,1840,98,1233,,,,,
99,1,99,1828,99,1303,,,,,
100,0,100,1878,100,1275,,,,,
101,0,101,1955,101,1334,,,,,
102,1,102,2000,102,1333,,,,,
103,0,103,1968,103,1223,,,,,
104,2,104,1904,104,1283,,,,,
105,0,105,1918,105,1255,,,,,
106,0,106,1982,106,1292,,,,,
107,1,107,2030,107,1249,,,,,
108,3,108,1926,108,1186,,,,,
109,3,109,1932,109,1296,,,,,
110,1,110,1918,110,1294,,,,,
111,1,111,1912,111,1243,,,,,
112,1,112,1868,112,1214,,,,,
113,0,113,1919,113,1231,,,,,
114,1,114,1978,114,1300,,,,,
115,1,115,1860,115,1274,,,,,
116,2,116,1965,116,1318,,,,,
117,0,117,1950,117,1278,,,,,
118,3,118,1957,118,1264,,,,,
119,1,119,1913,119,1302,,,,,
120,2,120,1876,120,1319,,,,,
121,2,121,1895,121,1282,,,,,
122,0,122,1860,122,1322,,,,,
123,0,123,1987,123,1327,,,,,
124,1,124,1847,124,1315,,,,,
125,0,125,1922,125,1365,,,,,
126,0,126,1953,126,1299,,,,,
127,2,127,1947,127,1349,,,,,
128,2,128,1910,128,1281,,,,,
129,1,129,1882,129,1318,,,,,
130,1,130,1950,130,1309,,,,,
131,1,131,1849,131,1256,,,,,
132,0,132,1863,132,1297,,,,,
133,0,133,1910,133,1327,,,,,
134,2,134,1982,134,1322,,,,,
135,0,135,1850,135,1302,,,,,
136,2,136,1893,136,1273,,,,,
137,0,137,1886,137,1274,,,,,
138,2,138,1881,138,1261,,,,,
139,0,139,1888,139,1329,,,,,
140,0,140,1922,140,1276,,,,,
141,1,141,1885,141,1301,,,,,
142,0,142,1906,142,1272,,,,,
143,1,143,1919,143,1266,,,,,
144,1,144,1894,144,1298,,,,,
145,1,145,1850,145,1276,,,,,
146,2,146,1907,146,1316,,,,,
147,0,147,1922,147,1256,,,,,
148,2,148,1877,148,1287,,,,,
149,1,149,1926,149,1321,,,,,
150,1,150,1858,150,1270,,,,,
151,1,151,1885,151,1218,,,,,
152,1,152,1938,152,1234,,,,,
153,0,153,1901,153,1231,,,,,
154,0,154,1891,154,1271,,,,,
155,2,155,1858,155,1240,,,,,
156,0,156,1857,156,1261,,,,,
157,0,157,1981,157,1291,,,,,
158,1,158,1907,158,1275,,,,,
159,2,159,1907,159,1218,,,,,
160,4,160,1807,160,1236,,,,,
161,0,161,1965,161,1194,,,,,
162,0,162,1922,162,1266,,,,,
163,0,163,1871,163,1305,,,,,
164,0,164,1860,164,1307,,,,,
165,2,165,1825,165,1261,,,,,
166,0,166,1876,166,1265,,,,,
167,1,167,1843,167,1280,,,,,
168,1,168,1834,168,1274,,,,,
169,3,169,1974,169,1331,,,,,
170,0,170,1872,170,1270,,,,,
171,0,171,1857,171,1279,,,,,
172,2,172,1877,172,1311,,,,,
173,2,173,1946,173,1212,,,,,
174,6,174,1942,174,1263,,,,,
175,3,175,1924,175,1282,,,,,
176,2,176,1956,176,1222,,,,,
177,0,177,1868,177,1275,,,,,
178,3,178,1953,178,1218,,,,,
179,3,179,1946,179,1332,,,,,
180,2,180,1901,180,1282,,,,,
181,1,181,1929,181,1234,,,,,
182,1,182,1865,182,1276,,,,,
183,0,183,1973,183,1216,,,,,
184,1,184,1933,184,1259,,,,,
185,1,185,1975,185,1272,,,,,
186,1,186,1941,186,1300,,,,,
187,0,187,1939,187,1311,,,,,
188,1,188,1939,188,1231,,,,,
189,1,189,1894,189,1234,,,,,
190,3,190,1921,190,1296,,,,,
191,1,191,1962,191,1304,,,,,
192,0,192,1937,192,1204,,,,,
193,2,193,1869,193,1243,,,,,
194,0,194,1992,194,1267,,,,,
195,0,195,1955,195,1248,,,,,
196,0,196,1872,196,1205,,,,,
197,1,197,1904,197,1208,,,,,
198,2,198,2000,198,1309,,,,,
199,0,199,1975,199,1282,,,,,
200,0,200,1918,200,1260,,,,,
201,0,201,1960,201,1212,,,,,
202,2,202,1962,202,1240,,,,,
203,0,203,1983,203,1292,,,,,
204,0,204,1961,204,1224,,,,,
205,0,205,2032,205,1263,,,,,
206,0,206,1985,206,1303,,,,,
207,0,207,1974,207,1230,,,,,
208,0,208,1950,208,1271,,,,,
209,1,209,2020,209,1240,,,,,
210,0,210,2001,210,1273,,,,,
211,0,211,1920,211,1265,,,,,
212,0,212,1979,212,1323,,,,,
213,1,213,1965,213,1287,,,,,
214,1,214,2005,214,1211,,,,,
215,2,215,1892,215,1299,,,,,
216,2,216,2030,216,1269,,,,,
217,0,217,1889,217,1278,,,,,
218,0,218,1944,218,1341,,,,,
219,0,219,2073,219,1323,,,,,
220,2,220,1994,220,1261,,,,,
221,0,221,2055,221,1266,,,,,
222,0,222,1954,222,1266,,,,,
223,0,223,2031,223,1278,,,,,
224,0,224,1986,224,1310,,,,,
225,0,225,1997,225,1309,,,,,
226,2,226,1866,226,1201,,,,,
227,0,227,1998,227,1222,,,,,
228,2,228,2018,228,1302,,,,,
229,0,229,1977,229,1286,,,,,
230,1,230,2011,230,1260,,,,,
231,1,231,2012,231,1264,,,,,
232,1,232,2088,232,1301,,,,,
233,0,233,2032,233,1350,,,,,
234,0,234,1984,234,1327,,,,,
235,1,235,2043,235,1256,,,,,
236,1,236,2038,236,1307,,,,,
237,0,237,1967,237,1301,,,,,
238,0,238,2088,238,1372,,,,,
239,0,239,2015,239,1268,,,,,
240,2,240,2053,240,1278,,,,,
241,0,241,2098,241,1297,,,,,
242,0,242,2033,242,1256,,,,,
243,2,243,1989,243,1317,,,,,
244,0,244,2022,244,1309,,,,,
245,0,245,2081,245,1243,,,,,
246,0,246,2054,246,1292,,,,,
247,0,247,2105,247,1328,,,,,
248,0,248,1957,248,1305,,,,,
249,0,249,2108,249,1317,,,,,
250,0,250,2025,250,1358,,,,,
251,0,251,2001,251,1310,,,,,
252,0,252,2063,252,1307,,,,,
253,1,253,2080,253,1291,,,,,
254,1,254,2078,254,1306,,,,,
255,0,255,2138,255,1340,,,,,
256,0,256,2023,256,1306,,,,,
257,0,257,2088,257,1281,,,,,
258,1,258,2092,258,1265,,,,,
259,0,259,2101,259,1371,,,,,
260,0,260,2115,260,1321,,,,,
261,1,261,2072,261,1267,,,,,
262,0,262,2092,262,1275,,,,,
263,0,263,2059,263,1354,,,,,
264,1,264,2017,264,1302,,,,,
265,2,265,2122,265,1270,,,,,
