谱信息：
开始时间,20:02:45
测量时间,70.739
死时间,0.398
总计数,99606
最大值,2708
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
0,0,0,0,0,0
1,0,1,133,1,80
2,0,2,185,2,118
3,0,3,183,3,131
4,1,4,184,4,129
5,0,5,177,5,122
6,0,6,171,6,142
7,0,7,198,7,113
8,0,8,178,8,110
9,0,9,176,9,124
10,0,10,166,10,110
11,0,11,165,11,117
12,1,12,157,12,93
13,0,13,126,13,114
14,0,14,149,14,108
15,0,15,121,15,88
16,0,16,106,16,92
17,0,17,83,17,104
18,0,18,107,18,84
19,0,19,91,19,76
20,0,20,67,20,69
21,0,21,67,21,48
22,0,22,71,22,65
23,0,23,51,23,41
24,0,24,48,24,52
25,0,25,44,25,46
26,0,26,37,26,39
27,0,27,30,27,33
28,0,28,24,28,38
29,0,29,28,29,32
30,0,30,17,30,24
31,0,31,17,31,28
32,0,32,15,32,30
33,0,33,15,33,21
34,0,34,19,34,16
35,0,35,14,35,18
36,0,36,10,36,23
37,0,37,11,37,18
38,0,38,11,38,17
39,0,39,14,39,14
40,0,40,11,40,8
41,1,41,10,41,11
42,0,42,10,42,10
43,0,43,13,43,14
44,0,44,7,44,11
45,0,45,12,45,12
46,0,46,13,46,8
47,1,47,13,47,11
48,0,48,14,48,8
49,0,49,12,49,7
50,0,50,10,50,9
51,0,51,15,51,9
52,1,52,10,52,5
53,0,53,10,53,13
54,0,54,11,54,5
55,0,55,14,55,2
56,0,56,20,56,5
57,0,57,13,57,10
58,0,58,22,58,7
59,0,59,18,59,7
60,0,60,23,60,7
61,0,61,25,61,7
62,0,62,33,62,8
63,0,63,41,63,12
64,0,64,54,64,7
65,0,65,73,65,14
66,0,66,88,66,6
67,0,67,124,67,12
68,0,68,180,68,12
69,0,69,213,69,13
70,0,70,255,70,12
71,0,71,303,71,9
72,0,72,359,72,13
73,0,73,417,73,14
74,0,74,440,74,16
75,0,75,463,75,24
76,0,76,457,76,31
77,0,77,506,77,41
78,0,78,532,78,63
79,0,79,540,79,67
80,0,80,530,80,84
81,0,81,525,81,93
82,0,82,542,82,122
83,0,83,510,83,173
84,0,84,532,84,176
85,0,85,503,85,200
86,0,86,505,86,211
87,0,87,504,87,271
88,1,88,536,88,273
89,0,89,546,89,263
90,0,90,521,90,313
91,0,91,543,91,359
92,0,92,528,92,355
93,0,93,532,93,338
94,0,94,546,94,377
95,0,95,511,95,371
96,0,96,561,96,377
97,0,97,521,97,345
98,0,98,537,98,372
99,0,99,521,99,358
100,0,100,551,100,325
101,0,101,510,101,356
102,0,102,588,102,337
103,0,103,521,103,364
104,0,104,542,104,360
105,0,105,546,105,390
106,0,106,548,106,373
107,0,107,506,107,347
108,0,108,541,108,339
109,0,109,602,109,348
110,0,110,576,110,366
111,0,111,524,111,347
112,0,112,537,112,360
113,0,113,582,113,372
114,0,114,544,114,321
115,0,115,532,115,391
116,0,116,546,116,357
117,0,117,564,117,315
118,0,118,557,118,350
119,0,119,547,119,357
120,0,120,509,120,321
121,0,121,539,121,353
122,0,122,555,122,344
123,0,123,508,123,383
124,0,124,523,124,374
125,0,125,513,125,337
126,0,126,544,126,378
127,0,127,566,127,345
128,0,128,551,128,361
129,0,129,546,129,388
130,0,130,538,130,355
131,0,131,582,131,349
132,0,132,562,132,375
133,0,133,523,133,359
134,0,134,538,134,378
135,0,135,546,135,361
136,0,136,543,136,323
137,0,137,546,137,384
138,0,138,571,138,354
139,0,139,522,139,347
140,0,140,524,140,326
141,0,141,552,141,380
142,0,142,546,142,357
143,0,143,509,143,329
144,0,144,545,144,365
145,0,145,502,145,350
146,0,146,539,146,376
147,0,147,512,147,362
148,0,148,503,148,315
149,0,149,511,149,331
150,0,150,535,150,331
151,0,151,553,151,391
152,0,152,542,152,386
153,0,153,587,153,353
154,0,154,497,154,382
155,0,155,531,155,365
156,0,156,494,156,351
157,0,157,537,157,368
158,0,158,492,158,385
159,0,159,550,159,353
160,0,160,508,160,321
161,0,161,561,161,357
162,0,162,510,162,347
163,0,163,501,163,388
164,0,164,543,164,347
165,0,165,524,165,365
166,0,166,547,166,330
167,0,167,552,167,366
168,0,168,524,168,368
169,0,169,542,169,346
170,0,170,519,170,346
171,0,171,505,171,322
172,0,172,561,172,381
173,0,173,578,173,340
174,0,174,524,174,400
175,0,175,538,175,360
176,0,176,558,176,352
177,0,177,560,177,368
178,0,178,541,178,379
179,1,179,540,179,347
180,0,180,534,180,405
181,0,181,554,181,349
182,0,182,501,182,350
183,0,183,560,183,340
184,0,184,534,184,349
185,0,185,486,185,364
186,0,186,575,186,346
187,0,187,509,187,331
188,0,188,548,188,367
189,0,189,502,189,322
190,0,190,550,190,321
191,0,191,541,191,345
192,0,192,525,192,358
193,0,193,501,193,358
194,0,194,553,194,375
195,0,195,566,195,324
196,0,196,545,196,349
197,0,197,569,197,366
198,0,198,568,198,348
199,0,199,527,199,371
200,0,200,533,200,339
201,0,201,534,201,351
202,0,202,544,202,373
203,0,203,556,203,375
204,0,204,476,204,337
205,0,205,517,205,351
206,0,206,541,206,375
207,0,207,533,207,371
208,0,208,585,208,378
209,0,209,531,209,377
210,0,210,591,210,374
211,0,211,564,211,348
212,0,212,528,212,366
213,0,213,528,213,382
214,0,214,574,214,369
215,0,215,533,215,355
216,0,216,558,216,371
217,0,217,543,217,401
218,0,218,574,218,410
219,0,219,556,219,344
220,0,220,553,220,368
221,0,221,523,221,364
222,1,222,576,222,373
223,0,223,560,223,327
224,1,224,564,224,351
225,0,225,524,225,340
226,0,226,552,226,346
227,0,227,585,227,380
228,0,228,543,228,340
229,0,229,583,229,364
230,0,230,558,230,400
231,0,231,545,231,374
232,1,232,570,232,369
233,0,233,559,233,395
234,0,234,540,234,347
235,0,235,590,235,376
236,0,236,563,236,353
237,0,237,568,237,384
238,0,238,555,238,368
239,0,239,604,239,373
240,0,240,578,240,378
241,0,241,516,241,355
242,0,242,609,242,351
243,0,243,549,243,324
244,0,244,550,244,385
245,0,245,653,245,404
246,0,246,546,246,371
247,0,247,574,247,346
248,0,248,589,248,353
249,0,249,598,249,352
250,0,250,577,250,375
251,0,251,554,251,376
252,0,252,575,252,342
253,0,253,607,253,423
254,0,254,602,254,372
255,0,255,584,255,380
256,0,256,560,256,373
257,0,257,568,257,358
258,0,258,577,258,356
259,0,259,596,259,354
260,0,260,593,260,354
261,0,261,561,261,364
262,0,262,600,262,339
263,0,263,607,263,353
264,0,264,613,264,417
265,0,265,577,265,405
266,0,266,617,266,341
267,0,267,594,267,371
268,0,268,636,268,368
269,0,269,595,269,372
270,0,270,605,270,351
271,0,271,592,271,386
272,0,272,619,272,376
273,0,273,619,273,399
274,0,274,572,274,353
275,0,275,580,275,396
276,0,276,611,276,381
277,0,277,614,277,434
278,0,278,599,278,346
279,0,279,589,279,398
280,0,280,634,280,371
281,0,281,609,281,385
282,0,282,592,282,344
283,0,283,561,283,334
284,0,284,585,284,359
285,0,285,580,285,387
286,0,286,571,286,351
287,0,287,611,287,376
288,0,288,570,288,368
289,0,289,594,289,383
290,0,290,661,290,394
291,0,291,623,291,354
292,0,292,602,292,395
293,0,293,636,293,368
294,0,294,594,294,389
295,0,295,618,295,396
296,0,296,607,296,369
297,0,297,627,297,389
298,0,298,618,298,400
299,0,299,643,299,372
300,0,300,555,300,370
301,0,301,559,301,428
302,0,302,617,302,369
303,0,303,611,303,391
304,0,304,601,304,372
305,0,305,596,305,376
306,0,306,583,306,344
307,0,307,605,307,387
308,0,308,621,308,371
309,0,309,636,309,423
310,0,310,648,310,363
311,1,311,618,311,372
312,0,312,617,312,396
313,0,313,606,313,388
314,0,314,602,314,431
315,0,315,656,315,366
316,0,316,637,316,389
317,0,317,667,317,398
318,0,318,633,318,377
319,0,319,654,319,415
320,0,320,613,320,395
321,0,321,638,321,402
322,0,322,632,322,383
323,0,323,638,323,415
324,0,324,674,324,411
325,0,325,626,325,390
326,0,326,686,326,384
327,0,327,647,327,404
328,0,328,599,328,403
329,0,329,640,329,406
330,0,330,677,330,386
331,0,331,608,331,426
332,0,332,568,332,369
333,0,333,637,333,370
334,0,334,689,334,390
335,0,335,659,335,391
336,0,336,624,336,402
337,0,337,626,337,382
338,0,338,655,338,384
339,0,339,662,339,411
340,0,340,670,340,408
341,0,341,628,341,391
342,0,342,664,342,412
343,0,343,696,343,391
344,0,344,694,344,411
345,0,345,673,345,381
346,1,346,659,346,409
347,0,347,620,347,394
348,0,348,660,348,384
349,0,349,637,349,403
350,0,350,683,350,392
351,0,351,675,351,400
352,0,352,649,352,398
353,0,353,693,353,416
354,0,354,655,354,411
355,0,355,651,355,398
356,0,356,628,356,409
357,0,357,687,357,388
358,0,358,714,358,407
359,0,359,704,359,399
360,0,360,724,360,435
361,0,361,647,361,413
362,0,362,710,362,367
363,0,363,696,363,392
364,0,364,712,364,411
365,0,365,644,365,404
366,0,366,633,366,382
367,0,367,683,367,420
368,1,368,674,368,375
369,0,369,672,369,435
370,0,370,635,370,406
371,0,371,632,371,376
372,0,372,671,372,419
373,0,373,646,373,383
374,0,374,586,374,395
375,0,375,635,375,399
376,0,376,671,376,422
377,0,377,678,377,393
378,0,378,706,378,432
379,0,379,671,379,402
380,0,380,710,380,409
381,0,381,674,381,428
382,0,382,622,382,432
383,0,383,683,383,409
384,0,384,631,384,426
385,0,385,666,385,468
386,0,386,728,386,423
387,0,387,686,387,420
388,0,388,658,388,408
389,0,389,641,389,406
390,0,390,643,390,419
391,0,391,682,391,413
392,0,392,701,392,371
393,0,393,686,393,423
394,0,394,680,394,392
395,0,395,671,395,433
396,0,396,666,396,424
397,0,397,721,397,401
398,0,398,665,398,456
399,1,399,724,399,437
400,0,400,675,400,433
401,0,401,733,401,386
402,0,402,655,402,447
403,0,403,673,403,456
404,0,404,730,404,426
405,0,405,674,405,416
406,0,406,703,406,439
407,0,407,666,407,433
408,0,408,688,408,422
409,0,409,701,409,444
410,0,410,626,410,444
411,0,411,668,411,419
412,0,412,689,412,443
413,0,413,725,413,453
414,0,414,674,414,446
415,0,415,659,415,481
416,0,416,720,416,436
417,0,417,694,417,408
418,0,418,683,418,423
419,0,419,744,419,429
420,0,420,646,420,468
421,1,421,738,421,495
422,0,422,738,422,429
423,0,423,710,423,439
424,0,424,718,424,444
425,0,425,681,425,444
426,0,426,704,426,413
427,0,427,692,427,453
428,0,428,682,428,433
429,0,429,704,429,452
430,0,430,699,430,457
431,0,431,670,431,451
432,0,432,725,432,417
433,0,433,711,433,450
434,0,434,655,434,441
435,0,435,708,435,419
436,0,436,693,436,451
437,0,437,724,437,430
438,0,438,691,438,437
439,0,439,753,439,477
440,0,440,712,440,489
441,0,441,726,441,456
442,0,442,724,442,427
443,0,443,666,443,424
444,0,444,750,444,444
445,0,445,729,445,452
446,0,446,701,446,410
447,0,447,779,447,446
448,0,448,725,448,450
449,0,449,688,449,467
450,0,450,690,450,428
451,0,451,733,451,455
452,0,452,733,452,475
453,0,453,766,453,418
454,0,454,768,454,431
455,0,455,713,455,445
456,0,456,718,456,452
457,0,457,699,457,463
458,0,458,769,458,435
459,1,459,813,459,446
460,0,460,672,460,405
461,0,461,751,461,477
462,0,462,719,462,431
463,0,463,717,463,461
464,0,464,741,464,466
465,0,465,805,465,446
466,0,466,747,466,441
467,0,467,751,467,448
468,0,468,747,468,474
469,0,469,723,469,439
470,0,470,752,470,434
471,0,471,761,471,427
472,1,472,758,472,482
473,0,473,710,473,452
474,0,474,810,474,456
475,0,475,748,475,423
476,0,476,689,476,456
477,0,477,789,477,489
478,0,478,734,478,442
479,0,479,815,479,455
480,0,480,782,480,464
481,0,481,812,481,475
482,0,482,771,482,491
483,1,483,800,483,463
484,0,484,734,484,451
485,0,485,738,485,431
486,0,486,769,486,502
487,0,487,715,487,428
488,0,488,735,488,471
489,0,489,811,489,439
490,0,490,761,490,463
491,0,491,768,491,454
492,0,492,747,492,440
493,0,493,812,493,433
494,0,494,761,494,454
495,0,495,733,495,459
496,0,496,743,496,461
497,0,497,768,497,448
498,0,498,780,498,490
499,0,499,795,499,489
500,0,500,748,500,499
501,0,501,779,501,482
502,0,502,811,502,465
503,0,503,800,503,481
504,0,504,770,504,482
505,0,505,786,505,431
506,0,506,764,506,480
507,0,507,783,507,469
508,0,508,757,508,457
509,0,509,785,509,480
510,0,510,768,510,448
511,0,511,763,511,458
512,0,512,785,512,434
513,0,513,771,513,463
514,0,514,812,514,460
515,0,515,848,515,448
516,0,516,802,516,409
517,0,517,861,517,472
518,0,518,794,518,453
519,0,519,796,519,415
520,0,520,800,520,497
521,1,521,793,521,493
522,1,522,809,522,462
523,0,523,744,523,455
524,0,524,785,524,456
