通道一计数表：,,,,,,,,,
ID,计数时长(s),计数,计数率,,,,,,
1,0.5,21,42,,,,,,
2,0.5,23,46,,,,,,
3,0.5,20,40,,,,,,
4,0.5,32,64,,,,,,
5,0.5,26,52,,,,,,
6,0.5,31,62,,,,,,
7,0.5,28,56,,,,,,
8,0.5,24,48,,,,,,
9,0.5,19,38,,,,,,
10,0.5,26,52,,,,,,
11,0.5,26,52,,,,,,
12,0.5,22,44,,,,,,
13,0.5,32,64,,,,,,
14,0.5,27,54,,,,,,
15,0.5,23,46,,,,,,
16,0.5,28,56,,,,,,
17,0.5,25,50,,,,,,
18,0.5,26,52,,,,,,
19,0.5,25,50,,,,,,
20,0.5,27,54,,,,,,
21,0.5,25,50,,,,,,
22,0.5,35,70,,,,,,
23,0.5,31,62,,,,,,
24,0.5,23,46,,,,,,
25,0.5,27,54,,,,,,
26,0.5,19,38,,,,,,
27,0.5,34,68,,,,,,
28,0.5,19,38,,,,,,
29,0.5,20,40,,,,,,
30,0.5,21,42,,,,,,
31,0.5,23,46,,,,,,
32,0.5,25,50,,,,,,
33,0.5,19,38,,,,,,
34,0.5,28,56,,,,,,
35,0.5,26,52,,,,,,
36,0.5,15,30,,,,,,
37,0.5,21,42,,,,,,
38,0.5,30,60,,,,,,
39,0.5,25,50,,,,,,
40,0.5,21,42,,,,,,
41,0.5,20,40,,,,,,
42,0.5,25,50,,,,,,
43,0.5,18,36,,,,,,
44,0.5,21,42,,,,,,
45,0.5,17,34,,,,,,
46,0.5,24,48,,,,,,
47,0.5,27,54,,,,,,
48,0.5,31,62,,,,,,
49,0.5,27,54,,,,,,
50,0.5,25,50,,,,,,
51,0.5,23,46,,,,,,
52,0.5,30,60,,,,,,
53,0.5,22,44,,,,,,
54,0.5,29,58,,,,,,
55,0.5,23,46,,,,,,
56,0.5,31,62,,,,,,
57,0.5,23,46,,,,,,
58,0.5,26,52,,,,,,
59,0.5,29,58,,,,,,
60,0.5,17,34,,,,,,
61,0.5,33,66,,,,,,
62,0.5,21,42,,,,,,
63,0.5,26,52,,,,,,
64,0.5,19,38,,,,,,
65,0.5,17,34,,,,,,
66,0.5,29,58,,,,,,
67,0.5,25,50,,,,,,
68,0.5,22,44,,,,,,
69,0.5,33,66,,,,,,
70,0.5,29,58,,,,,,
71,0.5,22,44,,,,,,
72,0.5,31,62,,,,,,
73,0.5,28,56,,,,,,
74,0.5,30,60,,,,,,
75,0.5,16,32,,,,,,
76,0.5,21,42,,,,,,
77,0.5,22,44,,,,,,
78,0.5,23,46,,,,,,
79,0.5,27,54,,,,,,
80,0.5,27,54,,,,,,
81,0.5,23,46,,,,,,
82,0.5,28,56,,,,,,
83,0.5,26,52,,,,,,
84,0.5,35,70,,,,,,
85,0.5,21,42,,,,,,
86,0.5,28,56,,,,,,
87,0.5,24,48,,,,,,
88,0.5,19,38,,,,,,
89,0.5,29,58,,,,,,
90,0.5,26,52,,,,,,
91,0.5,29,58,,,,,,
92,0.5,27,54,,,,,,
93,0.5,24,48,,,,,,
94,0.5,20,40,,,,,,
95,0.5,20,40,,,,,,
96,0.5,30,60,,,,,,
97,0.5,30,60,,,,,,
98,0.5,29,58,,,,,,
99,0.5,26,52,,,,,,
100,0.5,26,52,,,,,,
101,0.5,29,58,,,,,,
102,0.5,28,56,,,,,,
103,0.5,22,44,,,,,,
104,0.5,29,58,,,,,,
105,0.5,24,48,,,,,,
106,0.5,21,42,,,,,,
107,0.5,27,54,,,,,,
108,0.5,32,64,,,,,,
109,0.5,34,68,,,,,,
110,0.5,25,50,,,,,,
111,0.5,39,78,,,,,,
112,0.5,26,52,,,,,,
113,0.5,32,64,,,,,,
114,0.5,18,36,,,,,,
115,0.5,19,38,,,,,,
116,0.5,22,44,,,,,,
117,0.5,24,48,,,,,,
118,0.5,27,54,,,,,,
119,0.5,18,36,,,,,,
120,0.5,17,34,,,,,,
121,0.5,24,48,,,,,,
122,0.5,25,50,,,,,,
123,0.5,26,52,,,,,,
124,0.5,23,46,,,,,,
125,0.5,28,56,,,,,,
126,0.5,28,56,,,,,,
127,0.5,27,54,,,,,,
128,0.5,31,62,,,,,,
129,0.5,22,44,,,,,,
130,0.5,31,62,,,,,,
131,0.5,28,56,,,,,,
132,0.5,25,50,,,,,,
133,0.5,23,46,,,,,,
134,0.5,27,54,,,,,,
135,0.5,20,40,,,,,,
136,0.5,20,40,,,,,,
137,0.5,26,52,,,,,,
138,0.5,27,54,,,,,,
139,0.5,24,48,,,,,,
140,0.5,26,52,,,,,,
141,0.5,21,42,,,,,,
142,0.5,29,58,,,,,,
143,0.5,23,46,,,,,,
144,0.5,22,44,,,,,,
145,0.5,29,58,,,,,,
146,0.5,19,38,,,,,,
147,0.5,23,46,,,,,,
148,0.5,24,48,,,,,,
149,0.5,22,44,,,,,,
150,0.5,24,48,,,,,,
151,0.5,35,70,,,,,,
152,0.5,19,38,,,,,,
153,0.5,20,40,,,,,,
154,0.5,25,50,,,,,,
155,0.5,20,40,,,,,,
156,0.5,25,50,,,,,,
157,0.5,26,52,,,,,,
158,0.5,30,60,,,,,,
159,0.5,23,46,,,,,,
160,0.5,29,58,,,,,,
161,0.5,21,42,,,,,,
162,0.5,31,62,,,,,,
163,0.5,29,58,,,,,,
164,0.5,15,30,,,,,,
165,0.5,19,38,,,,,,
166,0.5,25,50,,,,,,
167,0.5,25,50,,,,,,
168,0.5,24,48,,,,,,
169,0.5,15,30,,,,,,
170,0.5,15,30,,,,,,
171,0.5,35,70,,,,,,
172,0.5,25,50,,,,,,
173,0.5,28,56,,,,,,
174,0.5,25,50,,,,,,
175,0.5,28,56,,,,,,
176,0.5,20,40,,,,,,
177,0.5,24,48,,,,,,
178,0.5,27,54,,,,,,
179,0.5,33,66,,,,,,
180,0.5,31,62,,,,,,
181,0.5,27,54,,,,,,
182,0.5,15,30,,,,,,
183,0.5,30,60,,,,,,
184,0.5,26,52,,,,,,
185,0.5,14,28,,,,,,
186,0.5,18,36,,,,,,
187,0.5,27,54,,,,,,
188,0.5,27,54,,,,,,
189,0.5,30,60,,,,,,
190,0.5,13,26,,,,,,
191,0.5,26,52,,,,,,
192,0.5,29,58,,,,,,
193,0.5,24,48,,,,,,
194,0.5,26,52,,,,,,
195,0.5,24,48,,,,,,
196,0.5,23,46,,,,,,
197,0.5,15,30,,,,,,
198,0.5,28,56,,,,,,
199,0.5,22,44,,,,,,
200,0.5,21,42,,,,,,
201,0.5,24,48,,,,,,
202,0.5,21,42,,,,,,
203,0.5,26,52,,,,,,
204,0.5,23,46,,,,,,
205,0.5,27,54,,,,,,
206,0.5,32,64,,,,,,
207,0.5,31,62,,,,,,
208,0.5,22,44,,,,,,
209,0.5,21,42,,,,,,
210,0.5,25,50,,,,,,
211,0.5,22,44,,,,,,
212,0.5,22,44,,,,,,
213,0.5,33,66,,,,,,
214,0.5,26,52,,,,,,
215,0.5,25,50,,,,,,
216,0.5,17,34,,,,,,
217,0.5,21,42,,,,,,
218,0.5,28,56,,,,,,
219,0.5,28,56,,,,,,
220,0.5,27,54,,,,,,
221,0.5,14,28,,,,,,
222,0.5,30,60,,,,,,
223,0.5,28,56,,,,,,
224,0.5,16,32,,,,,,
225,0.5,28,56,,,,,,
226,0.5,24,48,,,,,,
227,0.5,27,54,,,,,,
228,0.5,28,56,,,,,,
229,0.5,23,46,,,,,,
230,0.5,24,48,,,,,,
231,0.5,19,38,,,,,,
232,0.5,29,58,,,,,,
233,0.5,28,56,,,,,,
234,0.5,28,56,,,,,,
235,0.5,34,68,,,,,,
236,0.5,25,50,,,,,,
237,0.5,26,52,,,,,,
238,0.5,26,52,,,,,,
239,0.5,29,58,,,,,,
240,0.5,31,62,,,,,,
241,0.5,21,42,,,,,,
242,0.5,35,70,,,,,,
243,0.5,13,26,,,,,,
244,0.5,34,68,,,,,,
245,0.5,17,34,,,,,,
246,0.5,37,74,,,,,,
247,0.5,24,48,,,,,,
248,0.5,18,36,,,,,,
249,0.5,19,38,,,,,,
250,0.5,26,52,,,,,,
251,0.5,39,78,,,,,,
252,0.5,26,52,,,,,,
253,0.5,35,70,,,,,,
254,0.5,17,34,,,,,,
255,0.5,16,32,,,,,,
256,0.5,18,36,,,,,,
257,0.5,35,70,,,,,,
258,0.5,26,52,,,,,,
259,0.5,33,66,,,,,,
260,0.5,26,52,,,,,,
261,0.5,25,50,,,,,,
262,0.5,32,64,,,,,,
263,0.5,28,56,,,,,,
264,0.5,21,42,,,,,,
265,0.5,29,58,,,,,,
266,0.5,28,56,,,,,,
267,0.5,20,40,,,,,,
268,0.5,25,50,,,,,,
269,0.5,23,46,,,,,,
270,0.5,25,50,,,,,,
271,0.5,39,78,,,,,,
272,0.5,30,60,,,,,,
273,0.5,28,56,,,,,,
274,0.5,26,52,,,,,,
275,0.5,28,56,,,,,,
276,0.5,26,52,,,,,,
277,0.5,10,20,,,,,,
278,0.5,27,54,,,,,,
279,0.5,28,56,,,,,,
280,0.5,24,48,,,,,,
281,0.5,30,60,,,,,,
282,0.5,25,50,,,,,,
283,0.5,21,42,,,,,,
284,0.5,25,50,,,,,,
285,0.5,18,36,,,,,,
286,0.5,16,32,,,,,,
287,0.5,28,56,,,,,,
288,0.5,21,42,,,,,,
289,0.5,27,54,,,,,,
290,0.5,30,60,,,,,,
291,0.5,17,34,,,,,,
292,0.5,20,40,,,,,,
293,0.5,20,40,,,,,,
294,0.5,27,54,,,,,,
295,0.5,22,44,,,,,,
296,0.5,22,44,,,,,,
297,0.5,25,50,,,,,,
298,0.5,18,36,,,,,,
299,0.5,26,52,,,,,,
300,0.5,25,50,,,,,,
301,0.5,27,54,,,,,,
302,0.5,27,54,,,,,,
303,0.5,30,60,,,,,,
304,0.5,24,48,,,,,,
305,0.5,30,60,,,,,,
306,0.5,22,44,,,,,,
307,0.5,24,48,,,,,,
308,0.5,27,54,,,,,,
309,0.5,23,46,,,,,,
310,0.5,33,66,,,,,,
311,0.5,16,32,,,,,,
312,0.5,34,68,,,,,,
313,0.5,24,48,,,,,,
314,0.5,27,54,,,,,,
315,0.5,32,64,,,,,,
316,0.5,23,46,,,,,,
317,0.5,22,44,,,,,,
318,0.5,26,52,,,,,,
319,0.5,17,34,,,,,,
320,0.5,16,32,,,,,,
321,0.5,28,56,,,,,,
322,0.5,24,48,,,,,,
323,0.5,25,50,,,,,,
324,0.5,28,56,,,,,,
325,0.5,21,42,,,,,,
326,0.5,24,48,,,,,,
327,0.5,27,54,,,,,,
328,0.5,19,38,,,,,,
329,0.5,21,42,,,,,,
330,0.5,23,46,,,,,,
331,0.5,15,30,,,,,,
332,0.5,23,46,,,,,,
333,0.5,26,52,,,,,,
334,0.5,25,50,,,,,,
335,0.5,25,50,,,,,,
336,0.5,20,40,,,,,,
337,0.5,22,44,,,,,,
338,0.5,29,58,,,,,,
339,0.5,28,56,,,,,,
340,0.5,35,70,,,,,,
341,0.5,28,56,,,,,,
342,0.5,27,54,,,,,,
343,0.5,36,72,,,,,,
344,0.5,25,50,,,,,,
345,0.5,21,42,,,,,,
346,0.5,27,54,,,,,,
347,0.5,37,74,,,,,,
348,0.5,20,40,,,,,,
349,0.5,18,36,,,,,,
350,0.5,28,56,,,,,,
351,0.5,31,62,,,,,,
352,0.5,34,68,,,,,,
353,0.5,19,38,,,,,,
354,0.5,33,66,,,,,,
355,0.5,26,52,,,,,,
356,0.5,21,42,,,,,,
357,0.5,23,46,,,,,,
358,0.5,34,68,,,,,,
359,0.5,14,28,,,,,,
360,0.5,19,38,,,,,,
361,0.5,32,64,,,,,,
362,0.5,18,36,,,,,,
363,0.5,26,52,,,,,,
364,0.5,19,38,,,,,,
365,0.5,31,62,,,,,,
366,0.5,27,54,,,,,,
367,0.5,29,58,,,,,,
368,0.5,15,30,,,,,,
369,0.5,38,76,,,,,,
370,0.5,32,64,,,,,,
371,0.5,25,50,,,,,,
372,0.5,29,58,,,,,,
373,0.5,30,60,,,,,,
374,0.5,24,48,,,,,,
375,0.5,21,42,,,,,,
376,0.5,24,48,,,,,,
377,0.5,39,78,,,,,,
378,0.5,23,46,,,,,,
379,0.5,23,46,,,,,,
380,0.5,26,52,,,,,,
381,0.5,21,42,,,,,,
382,0.5,20,40,,,,,,
383,0.5,16,32,,,,,,
384,0.5,20,40,,,,,,
385,0.5,24,48,,,,,,
386,0.5,23,46,,,,,,
387,0.5,20,40,,,,,,
388,0.5,23,46,,,,,,
389,0.5,29,58,,,,,,
390,0.5,24,48,,,,,,
391,0.5,27,54,,,,,,
392,0.5,28,56,,,,,,
393,0.5,25,50,,,,,,
394,0.5,19,38,,,,,,
395,0.5,16,32,,,,,,
396,0.5,21,42,,,,,,
397,0.5,22,44,,,,,,
398,0.5,18,36,,,,,,
399,0.5,27,54,,,,,,
400,0.5,34,68,,,,,,
401,0.5,30,60,,,,,,
402,0.5,36,72,,,,,,
403,0.5,21,42,,,,,,
404,0.5,23,46,,,,,,
405,0.5,36,72,,,,,,
406,0.5,26,52,,,,,,
407,0.5,30,60,,,,,,
408,0.5,22,44,,,,,,
409,0.5,24,48,,,,,,
410,0.5,28,56,,,,,,
411,0.5,28,56,,,,,,
412,0.5,19,38,,,,,,
413,0.5,23,46,,,,,,
414,0.5,28,56,,,,,,
415,0.5,26,52,,,,,,
416,0.5,20,40,,,,,,
417,0.5,25,50,,,,,,
418,0.5,20,40,,,,,,
419,0.5,30,60,,,,,,
420,0.5,18,36,,,,,,
421,0.5,26,52,,,,,,
422,0.5,18,36,,,,,,
423,0.5,25,50,,,,,,
424,0.5,27,54,,,,,,
425,0.5,21,42,,,,,,
426,0.5,36,72,,,,,,
427,0.5,18,36,,,,,,
428,0.5,19,38,,,,,,
429,0.5,25,50,,,,,,
430,0.5,28,56,,,,,,
431,0.5,26,52,,,,,,
432,0.5,25,50,,,,,,
433,0.5,23,46,,,,,,
434,0.5,18,36,,,,,,
435,0.5,18,36,,,,,,
436,0.5,20,40,,,,,,
437,0.5,19,38,,,,,,
438,0.5,22,44,,,,,,
439,0.5,26,52,,,,,,
440,0.5,24,48,,,,,,
441,0.5,26,52,,,,,,
442,0.5,23,46,,,,,,
443,0.5,32,64,,,,,,
444,0.5,26,52,,,,,,
445,0.5,26,52,,,,,,
446,0.5,29,58,,,,,,
447,0.5,22,44,,,,,,
448,0.5,22,44,,,,,,
449,0.5,26,52,,,,,,
450,0.5,22,44,,,,,,
451,0.5,30,60,,,,,,
452,0.5,34,68,,,,,,
453,0.5,28,56,,,,,,
454,0.5,24,48,,,,,,
455,0.5,26,52,,,,,,
456,0.5,24,48,,,,,,
457,0.5,22,44,,,,,,
458,0.5,29,58,,,,,,
459,0.5,30,60,,,,,,
460,0.5,22,44,,,,,,
461,0.5,20,40,,,,,,
462,0.5,17,34,,,,,,
463,0.5,28,56,,,,,,
464,0.5,23,46,,,,,,
465,0.5,24,48,,,,,,
466,0.5,27,54,,,,,,
467,0.5,29,58,,,,,,
468,0.5,18,36,,,,,,
469,0.5,22,44,,,,,,
470,0.5,30,60,,,,,,
471,0.5,29,58,,,,,,
472,0.5,21,42,,,,,,
473,0.5,25,50,,,,,,
474,0.5,27,54,,,,,,
475,0.5,21,42,,,,,,
476,0.5,18,36,,,,,,
477,0.5,17,34,,,,,,
478,0.5,20,40,,,,,,
479,0.5,30,60,,,,,,
480,0.5,28,56,,,,,,
481,0.5,23,46,,,,,,
482,0.5,27,54,,,,,,
483,0.5,22,44,,,,,,
484,0.5,26,52,,,,,,
485,0.5,23,46,,,,,,
486,0.5,32,64,,,,,,
487,0.5,21,42,,,,,,
488,0.5,20,40,,,,,,
489,0.5,19,38,,,,,,
490,0.5,31,62,,,,,,
491,0.5,23,46,,,,,,
492,0.5,19,38,,,,,,
493,0.5,17,34,,,,,,
494,0.5,27,54,,,,,,
495,0.5,21,42,,,,,,
496,0.5,30,60,,,,,,
497,0.5,29,58,,,,,,
498,0.5,29,58,,,,,,
499,0.5,25,50,,,,,,
500,0.5,22,44,,,,,,
501,0.5,23,46,,,,,,
502,0.5,33,66,,,,,,
503,0.5,27,54,,,,,,
504,0.5,32,64,,,,,,
505,0.5,24,48,,,,,,
506,0.5,20,40,,,,,,
507,0.5,23,46,,,,,,
508,0.5,29,58,,,,,,
509,0.5,24,48,,,,,,
510,0.5,20,40,,,,,,
511,0.5,26,52,,,,,,
512,0.5,31,62,,,,,,
513,0.5,19,38,,,,,,
514,0.5,28,56,,,,,,
515,0.5,16,32,,,,,,
516,0.5,26,52,,,,,,
517,0.5,20,40,,,,,,
518,0.5,35,70,,,,,,
519,0.5,21,42,,,,,,
520,0.5,31,62,,,,,,
521,0.5,21,42,,,,,,
522,0.5,24,48,,,,,,
523,0.5,26,52,,,,,,
524,0.5,27,54,,,,,,
525,0.5,24,48,,,,,,
526,0.5,23,46,,,,,,
527,0.5,27,54,,,,,,
528,0.5,33,66,,,,,,
529,0.5,22,44,,,,,,
530,0.5,24,48,,,,,,
531,0.5,33,66,,,,,,
532,0.5,25,50,,,,,,
533,0.5,27,54,,,,,,
534,0.5,21,42,,,,,,
535,0.5,28,56,,,,,,
536,0.5,29,58,,,,,,
537,0.5,23,46,,,,,,
538,0.5,25,50,,,,,,
539,0.5,21,42,,,,,,
540,0.5,27,54,,,,,,
541,0.5,29,58,,,,,,
542,0.5,30,60,,,,,,
543,0.5,28,56,,,,,,
