通道一计数表：,,,,,
ID,计数时长(s),计数,,,
1,3,3299,1099.666667,14.68286689,0.013585908
2,3,3232,1077.333333,,
3,3,3248,1082.666667,,
4,3,3272,1090.666667,,
5,3,3240,1080,,
6,3,3231,1077,,
7,3,3214,1071.333333,,
8,3,3173,1057.666667,,
9,3,3337,1112.333333,,
10,3,3268,1089.333333,,
11,3,3201,1067,,
12,3,3276,1092,,
13,3,3207,1069,,
14,3,3189,1063,,
15,3,3273,1091,,
16,3,3235,1078.333333,,
17,3,3237,1079,,
18,3,3229,1076.333333,,
19,3,3250,1083.333333,,
20,3,3164,1054.666667,,
21,3,3324,1108,,
22,3,3230,1076.666667,,
,,,1080.742424,1029.992424,
通道二计数表：,,,,,
ID,计数时长(s),计数,,,
1,3,3225,,,
2,3,3266,,,
3,3,3327,,,
4,3,3289,,,
5,3,3307,,,
6,3,3276,,,
7,3,3151,,,
8,3,3234,,,
9,3,3274,,,
10,3,3322,,,
11,3,3295,,,
12,3,3244,,,
13,3,3205,,,
14,3,3317,,,
15,3,3263,,,
16,3,3214,,,
17,3,3239,,,
18,3,3349,,,
19,3,3149,,,
20,3,3212,,,
21,3,3265,,,
22,3,3266,,,
