通道一计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,5493,1831,1780.25,23.23082642,0.013189445
2,3,5537,1845.666667,1794.916667,,
3,3,5461,1820.333333,1769.583333,,
4,3,5524,1841.333333,1790.583333,,
5,3,5391,1797,1746.25,,
6,3,5335,1778.333333,1727.583333,,
7,3,5335,1778.333333,1727.583333,,
8,3,5386,1795.333333,1744.583333,,
9,3,5415,1805,1754.25,,
10,3,5469,1823,1772.25,,
11,3,5504,1834.666667,1783.916667,,
12,3,5365,1788.333333,1737.583333,,
13,3,5444,1814.666667,1763.916667,,
14,3,5424,1808,1757.25,,
15,3,5398,1799.333333,1748.583333,,
16,3,5592,1864,1813.25,,
17,3,5485,1828.333333,1777.583333,,
18,3,5314,1771.333333,1720.583333,,
19,3,5466,1822,1771.25,,
20,3,5398,1799.333333,1748.583333,,
21,3,5377,1792.333333,1741.583333,,
22,3,5443,1814.333333,1763.583333,,
23,3,5413,1804.333333,1753.583333,,
24,3,5500,1833.333333,1782.583333,,
,,,,1761.319444,,
通道二计数表：,,,,,,
ID,计数时长(s),计数,,,,
1,3,5438,,,,
2,3,5546,,,,
3,3,5503,,,,
4,3,5402,,,,
5,3,5344,,,,
6,3,5586,,,,
7,3,5477,,,,
8,3,5495,,,,
9,3,5498,,,,
10,3,5491,,,,
11,3,5321,,,,
12,3,5363,,,,
13,3,5547,,,,
14,3,5438,,,,
15,3,5542,,,,
16,3,5374,,,,
17,3,5431,,,,
18,3,5430,,,,
19,3,5460,,,,
20,3,5475,,,,
21,3,5319,,,,
22,3,5419,,,,
23,3,5397,,,,
24,3,5533,,,,
