通道一计数表：,,,,,
ID,计数时长(s),计数,,,
1,1,13798,13777.85,9.530817509,1
2,1,13893,13872.85,9.537688972,2
3,1,13298,13277.85,9.493852512,3
4,1,13542,13521.85,9.512062175,4
5,1,13701,13680.85,9.523752324,5
6,1,13463,13442.85,9.506202645,6
7,1,13337,13316.85,9.49678543,7
8,1,13379,13358.85,9.499934366,8
9,1,13265,13244.85,9.491364077,9
10,1,13101,13080.85,9.478904608,10
11,1,12949,12928.85,9.467216527,11
12,1,12890,12869.85,9.462642646,12
13,1,12792,12771.85,9.454998809,13
14,1,12763,12742.85,9.452725609,14
15,1,12772,12751.85,9.453431638,15
16,1,12861,12840.85,9.460386774,16
17,1,12656,12635.85,9.444293291,17
18,1,12446,12425.85,9.427534259,18
19,1,12541,12520.85,9.435150534,19
20,1,12438,12417.85,9.426890233,20
21,1,12245,12224.85,9.411226044,21
22,1,12327,12306.85,9.417911297,22
23,1,12139,12118.85,9.402517371,23
24,1,12057,12036.85,9.395728057,24
25,1,12020,11999.85,9.392649429,25
26,1,11888,11867.85,9.381588342,26
27,1,11963,11942.85,9.387888052,27
28,1,11875,11854.85,9.380492346,28
29,1,11733,11712.85,9.368441809,29
30,1,11558,11537.85,9.353388214,30
31,1,11276,11255.85,9.328643272,31
32,1,11515,11494.85,9.349654388,32
33,1,11553,11532.85,9.352954764,33
34,1,11430,11409.85,9.342232296,34
35,1,11336,11315.85,9.333959677,35
36,1,11287,11266.85,9.329620065,36
37,1,11148,11127.85,9.317206254,37
38,1,11180,11159.85,9.320077795,38
39,1,11106,11085.85,9.313424799,39
40,1,11090,11069.85,9.311980475,40
41,1,10899,10878.85,9.294575816,41
42,1,10985,10964.85,9.302449981,42
43,1,10954,10933.85,9.299618761,43
44,1,11020,10999.85,9.305636915,44
45,1,10775,10754.85,9.283112095,45
46,1,10786,10765.85,9.284134366,46
47,1,10634,10613.85,9.269915031,47
48,1,10739,10718.85,9.279759153,48
49,1,10612,10591.85,9.267840116,49
50,1,10313,10292.85,9.239204758,50
51,1,10373,10352.85,9.245017123,51
52,1,10362,10341.85,9.243954049,52
53,1,10370,10349.85,9.244727306,53
54,1,10286,10265.85,9.236578132,54
55,1,10491,10470.85,9.256350485,55
56,1,10241,10220.85,9.232185031,56
57,1,10197,10176.85,9.227870812,57
58,1,10099,10078.85,9.218194448,58
59,1,10011,9990.85,9.209424953,59
60,1,10112,10091.85,9.219483446,60
61,1,10104,10083.85,9.218690413,61
62,1,9795,9774.85,9.187568039,62
63,1,10026,10005.85,9.210925201,63
64,1,9960,9939.85,9.204307209,64
65,1,9882,9861.85,9.196429057,65
66,1,9797,9776.85,9.187772625,66
67,1,9710,9689.85,9.178834225,67
68,1,9678,9657.85,9.175526335,68
69,1,9605,9584.85,9.167939006,69
70,1,9535,9514.85,9.160609015,70
71,1,9490,9469.85,9.155868347,71
72,1,9480,9459.85,9.154811806,72
73,1,9585,9564.85,9.1658502,73
74,1,9278,9257.85,9.133227119,74
75,1,9306,9285.85,9.136247015,75
76,1,9327,9306.85,9.138505967,76
77,1,9179,9158.85,9.122475904,77
78,1,9198,9177.85,9.124548251,78
79,1,9147,9126.85,9.118975898,79
80,1,9140,9119.85,9.118208636,80
81,1,9194,9173.85,9.124112324,81
82,1,9190,9169.85,9.123676207,82
83,1,8984,8963.85,9.100955101,83
84,1,8873,8852.85,9.08849472,84
85,1,8732,8711.85,9.072439447,85
86,1,8952,8931.85,9.097378819,86
87,1,8986,8965.85,9.101178195,87
88,1,9040,9019.85,9.107182983,88
89,1,8850,8829.85,9.085893306,89
90,1,8954,8933.85,9.097602712,90
91,1,8742,8721.85,9.07358665,91
92,1,8633,8612.85,9.061010553,92
93,1,8682,8661.85,9.066683605,93
94,1,8654,8633.85,9.063445803,94
95,1,8614,8593.85,9.05880211,95
96,1,8572,8551.85,9.053902913,96
97,1,8450,8429.85,9.039534257,97
98,1,8480,8459.85,9.043086722,98
99,1,8497,8476.85,9.045094198,99
100,1,8466,8445.85,9.041430475,100
101,1,8379,8358.85,9.031076137,101
102,1,8184,8163.85,9.00747115,102
103,1,8340,8319.85,9.026399505,103
104,1,8435,8414.85,9.037753281,104
105,1,8199,8178.85,9.009306833,105
106,1,8442,8421.85,9.038584798,106
107,1,8233,8212.85,9.01345528,107
108,1,8078,8057.85,8.994402051,108
109,1,8165,8144.85,9.005141105,109
110,1,8046,8025.85,8.990422861,110
111,1,8163,8142.85,9.004895521,111
