通道一计数表：
ID,计数时长(s),计数
1,1,23
2,1,21
3,1,19
4,1,19
5,1,13
6,1,19
7,1,12
8,1,15
9,1,17
10,1,18
11,1,15
12,1,29
13,1,26
14,1,16
15,1,20
16,1,28
17,1,25
18,1,12
19,1,15
20,1,18
21,1,14
22,1,23
23,1,21
24,1,15
25,1,18
26,1,29
27,1,24
28,1,22
29,1,23
30,1,23
31,1,28
32,1,18
33,1,17
34,1,22
35,1,18
36,1,22
37,1,16
38,1,17
39,1,20
40,1,21
41,1,22
42,1,14
43,1,25
44,1,31
45,1,24
46,1,19
47,1,26
48,1,11
49,1,24
50,1,16
51,1,20
52,1,21
53,1,18
54,1,13
55,1,16
56,1,24
57,1,21
58,1,22
59,1,26
60,1,14
61,1,21
62,1,19
63,1,17
64,1,16
65,1,16
66,1,20
67,1,20
68,1,20
69,1,20
70,1,20
71,1,15
72,1,17
73,1,22
74,1,20
75,1,24
76,1,22
77,1,12
78,1,16
79,1,20
80,1,25
81,1,15
82,1,10
83,1,27
84,1,17
85,1,29
86,1,27
87,1,16
88,1,24
89,1,17
90,1,24
91,1,14
92,1,18
93,1,18
94,1,22
95,1,17
96,1,22
97,1,20
98,1,19
99,1,23
100,1,32
101,1,17
102,1,13
103,1,15
104,1,18
105,1,28
106,1,20
107,1,18
108,1,31
109,1,22
110,1,16
111,1,3
112,1,19
113,1,17
114,1,16
115,1,21
116,1,18
117,1,30
118,1,27
119,1,15
120,1,19
121,1,14
122,1,17
123,1,24
124,1,16
125,1,22
126,1,17
127,1,30
128,1,13
129,1,18
130,1,21
131,1,20
132,1,24
133,1,15
134,1,13
135,1,22
136,1,25
137,1,20
138,1,17
139,1,20
140,1,18
141,1,23
142,1,19
143,1,16
144,1,31
145,1,17
146,1,24
147,1,20
148,1,19
149,1,12
150,1,19
151,1,11
152,1,19
153,1,17
154,1,19
155,1,18
156,1,14
157,1,15
158,1,18
159,1,25
160,1,26
161,1,17
162,1,23
163,1,12
164,1,13
165,1,21
166,1,25
167,1,16
168,1,23
169,1,22
170,1,14
171,1,18
172,1,23
173,1,17
174,1,16
175,1,13
176,1,19
177,1,18
178,1,18
179,1,23
180,1,14
181,1,17
182,1,19
183,1,16
184,1,14
185,1,17
186,1,27
187,1,22
188,1,18
189,1,20
190,1,12
191,1,34
192,1,16
193,1,21
194,1,14
195,1,19
196,1,14
197,1,20
198,1,26
199,1,23
200,1,18
201,1,18
202,1,19
203,1,22
204,1,16
205,1,17
206,1,25
207,1,23
208,1,24
209,1,27
210,1,26
211,1,19
212,1,24
213,1,14
214,1,21
215,1,19
216,1,25
217,1,20
218,1,18
219,1,21
220,1,23
221,1,28
222,1,15
223,1,18
224,1,24
225,1,20
226,1,18
227,1,20
228,1,17
229,1,24
230,1,23
231,1,26
232,1,14
233,1,26
234,1,28
235,1,13
236,1,13
237,1,28
238,1,13
239,1,20
240,1,16
241,1,28
242,1,18
243,1,16
244,1,17
245,1,30
246,1,21
247,1,11
248,1,21
249,1,21
250,1,14
251,1,21
252,1,14
253,1,17
254,1,19
255,1,20
256,1,25
257,1,18
258,1,16
259,1,19
260,1,24
261,1,23
262,1,14
263,1,18
264,1,20
265,1,21
266,1,22
267,1,15
268,1,16
269,1,15
270,1,23
271,1,16
272,1,21
273,1,27
274,1,23
275,1,23
276,1,24
277,1,16
278,1,21
279,1,15
280,1,21
281,1,22
282,1,25
283,1,15
284,1,22
285,1,17
286,1,25
287,1,19
288,1,20
289,1,28
290,1,19
291,1,22
292,1,13
293,1,12
294,1,13
295,1,20
296,1,24
297,1,23
298,1,21
299,1,14
300,1,19
301,1,18
302,1,26
303,1,25
304,1,19
305,1,27
306,1,18
307,1,24
308,1,17
309,1,20
310,1,19
311,1,20
312,1,18
313,1,21
314,1,21
315,1,21
316,1,25
