谱信息：
开始时间,20:09:27
测量时间,85.239
死时间,1.003
总计数,250877
通道1道址,通道1计数,通道2道址,通道2计数
0,0,0,0
1,7,1,7
2,10,2,10
3,8,3,8
4,9,4,9
5,5,5,5
6,8,6,8
7,6,7,6
8,0,8,0
9,5,9,5
10,9,10,9
11,6,11,6
12,7,12,7
13,6,13,6
14,5,14,5
15,7,15,7
16,7,16,7
17,13,17,13
18,11,18,11
19,10,19,10
20,8,20,8
21,8,21,8
22,10,22,10
23,5,23,5
24,5,24,5
25,10,25,10
26,5,26,5
27,6,27,6
28,7,28,7
29,6,29,6
30,6,30,6
31,6,31,6
32,3,32,3
33,7,33,7
34,6,34,6
35,7,35,7
36,4,36,4
37,4,37,4
38,2,38,2
39,5,39,5
40,7,40,7
41,5,41,5
42,7,42,7
43,8,43,8
44,8,44,8
45,10,45,10
46,6,46,6
47,6,47,6
48,10,48,10
49,7,49,7
50,6,50,6
51,7,51,7
52,6,52,6
53,5,53,5
54,10,54,10
55,4,55,4
56,5,56,5
57,11,57,11
58,5,58,5
59,8,59,8
60,10,60,10
61,7,61,7
62,8,62,8
63,7,63,7
64,5,64,5
65,6,65,6
66,3,66,3
67,6,67,6
68,7,68,7
69,10,69,10
70,9,70,9
71,7,71,7
72,5,72,5
73,4,73,4
74,6,74,6
75,4,75,4
76,10,76,10
77,9,77,9
78,6,78,6
79,4,79,4
80,4,80,4
81,8,81,8
82,7,82,7
83,3,83,3
84,9,84,9
85,19,85,19
86,12,86,12
87,10,87,10
88,10,88,10
89,10,89,10
90,4,90,4
91,10,91,10
92,3,92,3
93,3,93,3
94,3,94,3
95,6,95,6
96,5,96,5
97,4,97,4
98,7,98,7
99,9,99,9
100,6,100,6
101,4,101,4
102,9,102,9
103,4,103,4
104,6,104,6
105,8,105,8
106,4,106,4
107,3,107,3
108,7,108,7
109,5,109,5
110,3,110,3
111,9,111,9
112,6,112,6
113,6,113,6
114,7,114,7
115,9,115,9
116,0,116,0
117,10,117,10
118,6,118,6
119,5,119,5
120,4,120,4
121,6,121,6
122,4,122,4
123,6,123,6
124,4,124,4
125,7,125,7
126,4,126,4
127,4,127,4
128,2,128,2
129,3,129,3
130,10,130,10
131,5,131,5
132,9,132,9
133,5,133,5
134,10,134,10
135,4,135,4
136,13,136,13
137,7,137,7
138,7,138,7
139,8,139,8
140,4,140,4
141,4,141,4
142,9,142,9
143,3,143,3
144,7,144,7
145,6,145,6
146,8,146,8
147,7,147,7
148,5,148,5
149,9,149,9
150,8,150,8
151,5,151,5
152,11,152,11
153,5,153,5
154,6,154,6
155,5,155,5
156,3,156,3
157,7,157,7
158,7,158,7
159,6,159,6
160,8,160,8
161,8,161,8
