μ子数据
开始时间,19:01:39
测量时间,728.9
μ子衰变数,12672
μ子通量数,2091
日期时间,μ子寿命
20231105 19:01:39,1.22
20231105 19:01:39,1.47
20231105 19:01:39,0.59
20231105 19:01:39,6.46
20231105 19:01:39,4.6
20231105 19:01:39,0.89
20231105 19:01:39,2.9
20231105 19:01:39,3.09
20231105 19:01:39,0.41
20231105 19:01:39,2.43
20231105 19:01:39,0.93
20231105 19:01:39,0.54
20231105 19:01:40,1.94
20231105 19:01:40,0.62
20231105 19:01:40,2.19
20231105 19:01:40,1.77
20231105 19:01:40,0.71
20231105 19:01:40,1.78
20231105 19:01:40,0.64
20231105 19:01:40,0.13
20231105 19:01:40,0.68
20231105 19:01:40,1.26
20231105 19:01:40,2.08
20231105 19:01:40,2.75
20231105 19:01:40,4.08
20231105 19:01:40,1.82
20231105 19:01:40,1.92
20231105 19:01:40,1.24
20231105 19:01:40,6.38
20231105 19:01:41,1.1
20231105 19:01:41,3.2
20231105 19:01:41,1.72
20231105 19:01:41,0.35
20231105 19:01:41,5.89
20231105 19:01:41,0.52
20231105 19:01:41,0.23
20231105 19:01:41,3.34
20231105 19:01:41,3.1
20231105 19:01:41,2.09
20231105 19:01:41,0.51
20231105 19:01:41,0.19
20231105 19:01:41,3.71
20231105 19:01:42,3.12
20231105 19:01:42,1.48
20231105 19:01:42,1.21
20231105 19:01:42,2.69
20231105 19:01:42,1
20231105 19:01:42,1.25
20231105 19:01:42,1.35
20231105 19:01:42,0.24
20231105 19:01:42,2.83
20231105 19:01:42,0.28
20231105 19:01:42,2.13
20231105 19:01:42,1.73
20231105 19:01:42,1.55
20231105 19:01:42,2.7
20231105 19:01:42,5.84
20231105 19:01:42,5.36
20231105 19:01:42,1.22
20231105 19:01:42,0.45
20231105 19:01:42,0.82
20231105 19:01:43,2.41
20231105 19:01:43,0.39
20231105 19:01:43,4.54
20231105 19:01:43,4.56
20231105 19:01:43,3.37
20231105 19:01:43,3.55
20231105 19:01:43,0.16
20231105 19:01:43,1.92
20231105 19:01:43,2.59
20231105 19:01:43,5.49
20231105 19:01:43,0.75
20231105 19:01:43,1.28
20231105 19:01:43,1.94
20231105 19:01:43,0.65
20231105 19:01:43,2.27
20231105 19:01:43,3.78
20231105 19:01:43,0.9
20231105 19:01:43,0.25
20231105 19:01:44,2.68
20231105 19:01:44,4.25
20231105 19:01:44,2.18
20231105 19:01:44,5.06
20231105 19:01:44,1.07
20231105 19:01:44,1.6
20231105 19:01:44,1.3
20231105 19:01:44,1.3
20231105 19:01:44,0.82
20231105 19:01:44,4.02
20231105 19:01:44,1.24
20231105 19:01:45,5.59
20231105 19:01:45,0.3
20231105 19:01:45,0.13
20231105 19:01:45,5.28
20231105 19:01:45,0.76
20231105 19:01:45,1.68
20231105 19:01:45,1.67
20231105 19:01:45,0.38
20231105 19:01:45,0.17
20231105 19:01:45,0.34
20231105 19:01:45,4.44
20231105 19:01:45,1.49
20231105 19:01:45,0.24
20231105 19:01:45,1.24
20231105 19:01:45,1
20231105 19:01:45,2.04
20231105 19:01:45,0.39
20231105 19:01:45,2.21
20231105 19:01:46,1.07
20231105 19:01:46,4.26
20231105 19:01:46,3.39
20231105 19:01:46,1.46
20231105 19:01:46,1.83
20231105 19:01:46,4.18
20231105 19:01:46,1.84
20231105 19:01:46,1.33
20231105 19:01:46,0.83
20231105 19:01:46,1.91
20231105 19:01:46,1.67
20231105 19:01:46,1.34
20231105 19:01:46,2.29
20231105 19:01:46,10.13
20231105 19:01:47,0.21
20231105 19:01:47,1.89
20231105 19:01:47,2.96
20231105 19:01:47,0.74
20231105 19:01:47,2.04
20231105 19:01:47,0.48
20231105 19:01:47,1.57
20231105 19:01:47,2.45
20231105 19:01:47,1.29
20231105 19:01:47,1.96
20231105 19:01:47,3.91
20231105 19:01:47,0.61
20231105 19:01:47,0.95
20231105 19:01:47,0.98
20231105 19:01:47,1.06
20231105 19:01:47,2.7
