谱信息：
开始时间,20:01:13
测量时间,263.990
死时间,19.695
总计数,4923767
通道1道址,通道1计数,通道2道址,通道2计数
0,9486,0,9432
1,9909,1,9803
2,9834,2,10018
3,9916,3,9980
4,9706,4,9905
5,10020,5,9920
6,9947,6,9819
7,9965,7,9901
8,9695,8,9743
9,9909,9,9907
10,9774,10,9775
11,9687,11,10032
12,9745,12,9939
13,9952,13,9805
14,9774,14,9716
15,9750,15,9957
16,10037,16,9905
17,9777,17,9777
18,9830,18,9755
19,9954,19,9971
20,9816,20,9895
21,9687,21,9751
22,9957,22,10045
23,9858,23,9804
24,9722,24,9995
25,9928,25,9804
26,10035,26,10019
27,9869,27,9746
28,10037,28,9849
29,9784,29,9856
30,10072,30,9789
31,9713,31,9891
32,9848,32,9705
33,9797,33,9933
34,9887,34,9805
35,9799,35,10071
36,9895,36,9770
37,9945,37,9853
38,9910,38,9951
39,9927,39,9895
40,9786,40,9819
41,9874,41,9882
42,9647,42,9959
43,9797,43,9988
44,9836,44,10003
45,9760,45,9903
46,9837,46,10012
47,10034,47,9819
48,9889,48,9802
49,9854,49,9861
50,9757,50,9877
51,9976,51,9902
52,9884,52,9868
53,9785,53,9782
54,9949,54,9633
55,9817,55,9827
56,9922,56,10033
57,9854,57,9822
58,9932,58,9841
59,9858,59,9779
60,9871,60,9811
61,9892,61,9917
62,9914,62,9851
63,9610,63,9920
64,10070,64,9973
65,10192,65,9933
66,9809,66,9771
67,9767,67,9839
68,9906,68,9870
69,9837,69,9830
70,9822,70,9924
71,10029,71,9759
72,9711,72,9782
73,9914,73,9798
74,9913,74,9704
75,9937,75,9769
76,9917,76,9681
77,10084,77,9677
78,9830,78,9673
79,9928,79,9886
80,9520,80,9724
81,9956,81,9790
82,9772,82,9966
83,9933,83,9859
84,9704,84,9918
85,10004,85,9814
86,9842,86,9712
87,9755,87,9654
88,9866,88,9955
89,9828,89,10038
90,9777,90,9680
91,9767,91,9810
92,9791,92,9889
93,9882,93,10002
94,9701,94,9915
95,9652,95,9794
96,9695,96,9889
97,9783,97,9841
98,9707,98,9848
99,9700,99,9734
100,9636,100,9629
101,9629,101,9657
102,9620,102,9808
103,9555,103,9450
104,9636,104,9683
105,9475,105,9578
106,9429,106,9422
107,9596,107,9465
108,9561,108,9283
109,9169,109,8959
110,9087,110,8861
111,8699,111,8952
112,8611,112,8540
113,8053,113,8075
114,7804,114,7828
115,7568,115,7412
116,7530,116,7447
117,7672,117,7654
118,8021,118,8120
119,8403,119,8347
120,8837,120,8876
121,8985,121,9001
122,9210,122,9184
123,9391,123,9186
124,9392,124,9277
125,9589,125,9641
126,9650,126,9431
127,9539,127,9581
128,9688,128,9651
129,9656,129,9559
130,9731,130,9771
131,9737,131,9833
132,9673,132,9749
133,9876,133,9889
