谱信息：
开始时间,19:37:54
测量时间,270.356
死时间,20.675
总计数,5168987
通道1道址,通道1计数,通道2道址,通道2计数
0,9722,0,9948
1,10577,1,10308
2,10564,2,10443
3,10283,3,10342
4,10535,4,10356
5,10499,5,10495
6,10397,6,10446
7,10353,7,10253
8,10417,8,10408
9,10480,9,10624
10,10375,10,10365
11,10547,11,10408
12,10584,12,10244
13,10413,13,10372
14,10362,14,10537
15,10520,15,10494
16,10368,16,10487
17,10346,17,10453
18,10340,18,10628
19,10272,19,10320
20,10358,20,10416
21,10573,21,10301
22,10358,22,10536
23,10315,23,10483
24,10485,24,10441
25,10262,25,10411
26,10480,26,10584
27,10447,27,10484
28,10522,28,10382
29,10306,29,10415
30,10475,30,10446
31,10504,31,10420
32,10272,32,10220
33,10509,33,10424
34,10451,34,10337
35,10268,35,10457
36,10442,36,10427
37,10508,37,10414
38,10425,38,10315
39,10496,39,10485
40,10454,40,10496
41,10474,41,10298
42,10292,42,10521
43,10381,43,10260
44,10555,44,10329
45,10253,45,10382
46,10559,46,10539
47,10338,47,10401
48,10316,48,10445
49,10400,49,10321
50,10510,50,10278
51,10396,51,10466
52,10395,52,10478
53,10392,53,10371
54,10200,54,10439
55,10298,55,10219
56,10310,56,10450
57,10534,57,10340
58,10276,58,10334
59,10414,59,10391
60,10178,60,10042
61,10252,61,10280
62,10260,62,10099
63,10153,63,10259
64,10323,64,10137
65,10141,65,10191
66,10277,66,10235
67,9938,67,10011
68,10139,68,10095
69,9936,69,10068
70,9780,70,10079
71,9755,71,9711
72,9901,72,9824
73,9554,73,9498
74,9622,74,9330
75,9254,75,9342
76,8998,76,9071
77,8657,77,8823
78,8475,78,8409
79,8005,79,8093
80,7830,80,8029
81,7903,81,7815
82,7995,82,8182
83,8318,83,8215
84,8683,84,8644
85,8984,85,8920
86,9198,86,8996
87,9439,87,9212
88,9627,88,9582
89,9613,89,9622
90,9900,90,9917
91,9927,91,9888
92,10210,92,10020
93,10002,93,9952
94,10178,94,10124
95,10038,95,10007
96,10238,96,10188
97,10229,97,10021
98,10216,98,10353
99,10193,99,10219
100,10525,100,10346
101,10218,101,10267
102,10259,102,10346
103,10280,103,10338
104,10288,104,10119
105,10342,105,10242
106,10383,106,10591
107,10489,107,10356
108,10303,108,10312
109,10309,109,10218
110,10344,110,10240
111,10458,111,10299
112,10374,112,10399
113,10391,113,10359
114,10569,114,10431
115,10378,115,10519
116,10071,116,10499
117,10309,117,10200
118,10476,118,10494
119,10436,119,10460
120,10407,120,10446
121,10306,121,10403
122,10402,122,10363
123,10339,123,10309
124,10554,124,10292
125,10146,125,10271
126,10227,126,10293
127,10120,127,10348
128,10313,128,10300
129,10346,129,10434
130,10334,130,10321
131,10385,131,10264
132,10243,132,10280
133,10335,133,10440
134,10066,134,10250
135,10324,135,10392
136,10267,136,10305
137,10364,137,10181
138,10350,138,10401
139,10292,139,10149
140,10218,140,10156
141,10009,141,10137
142,10014,142,10078
143,9773,143,10060
144,9918,144,9926
145,9701,145,9979
146,9704,146,9705
